12 -0.018669151629786863
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.481934         13.5855      0.0194616        2.49101        -1015.96        3.52307         450.94       -0.149429      0.0756587        9.68402
  accept        0.498535         14.2193     0.00827557        1.05924        -1078.14       0.067391        8.62578       0.0215602       0.068368        8.75083
  accept        0.494568         14.0376     0.00892131        1.14189        -1077.65      0.0674337        8.63125     -0.00131508      0.0697812        8.93172
  accept        0.497192          14.127     0.00823872        1.05452        -1077.62      0.0652532        8.35215      -0.0171873      0.0834348        10.6793
  accept        0.499756         14.0272      0.0092816        1.18801        -1077.84      0.0707914        9.06102        0.049281      0.0680452        8.70951
  accept        0.503418         13.9618     0.00979981        1.25434        -1077.11       0.071774        9.18679      -0.0254668      0.0738988        9.45875
  accept        0.497559         14.0393     0.00960433        1.22932        -1077.69      0.0667593        8.54493     -0.00468728      0.0738711        9.45521
  accept        0.505615         14.1825       0.010008        1.28098        -1077.65      0.0671433        8.59408     -0.00621932      0.0716809        9.17487
  accept        0.495789         14.0666     0.00924195        1.18293        -1077.13      0.0695824        8.90627       0.0943797       0.072466        9.27536
       1        0.501709          14.183     0.00901208        1.15351        -1077.49      0.0678738        8.68758       0.0878235      0.0738728        9.45543
       2        0.498535         14.0747     0.00865288        1.10753        -1078.94       0.062752        8.03201       0.0249284      0.0707249        9.05251
       3         0.50592         14.1891     0.00944098        1.20841        -1077.64      0.0650465         8.3257       0.0692233      0.0662501        8.47976
       4         0.50116         13.9504     0.00806767        1.03263        -1077.15      0.0713794        9.13628      -0.0052148      0.0719031        9.20331
       5        0.505737         14.0084     0.00885015        1.13278        -1078.15      0.0652038        8.34583      -0.0234136      0.0747813        9.57171
       6        0.500244         14.0401     0.00819998        1.04957        -1077.73      0.0715304        9.15561        0.170234      0.0763879        9.77736
       7        0.506287         13.9671     0.00900466        1.15256        -1077.28      0.0682063        8.73014       -0.149832       0.074452        9.52956
       8        0.503052         13.8588     0.00906808        1.16068        -1078.98      0.0677516        8.67194      -0.0581898      0.0687122        8.79489
   total        0.502831         14.0339     0.00312415        1.13106        -1077.92      0.0239442         8.6687       0.0144449      0.0255287        9.24235

    mode      occupation             +/-         std dev
     -13       0.0368176     6.66576e-05       0.0241325
     -12       0.0632042     9.75352e-05       0.0353114
     -11        0.109967     0.000139751       0.0505949
     -10         0.19271     0.000202862       0.0734435
      -9        0.340325     0.000293917        0.106409
      -8        0.598858     0.000426487        0.154404
      -7         1.04158     0.000599842        0.217165
      -6         1.79363     0.000878561        0.318072
      -5         3.01505      0.00121639         0.44038
      -4         4.87976      0.00163288        0.591164
      -3          7.4403      0.00206487         0.74756
      -2         10.4359      0.00260239        0.942162
      -1          13.033      0.00293982         1.06432
       0         14.0339      0.00312415         1.13106
       1         13.0358      0.00294556          1.0664
       2         10.4335      0.00259683        0.940151
       3         7.44463      0.00206903        0.749064
       4         4.87743      0.00163872        0.593279
       5         3.01433      0.00121334        0.439276
       6         1.79476     0.000875344        0.316907
       7         1.04128      0.00059795         0.21648
       8        0.599471     0.000427175        0.154653
       9        0.340525     0.000294952        0.106784
      10        0.193187     0.000202992       0.0734906
      11        0.110144     0.000140072       0.0507113
      12       0.0631184     9.71209e-05       0.0351614
      13       0.0367692     6.67042e-05       0.0241494
