13 -0.018669151629786863
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.484863         14.5944      0.0266268        3.40813        -1004.97        4.27595        547.305      -0.0312433      0.0730565        9.35094
  accept        0.494995         13.7542     0.00821008        1.05086        -1082.44      0.0724779        9.27688       -0.033841      0.0719053        9.20359
  accept        0.501892         14.0941     0.00828598        1.06057        -1081.85      0.0678629        8.68618       -0.150942      0.0709702        9.08391
  accept        0.504272         13.8521     0.00976597        1.25001         -1082.2      0.0663577        8.49353      -0.0546555      0.0706171        9.03872
       1        0.503967         13.9643     0.00971228        1.24313         -1081.3      0.0739993        9.47162      -0.0359437      0.0666288        8.52822
       2        0.502441         14.1992     0.00914755        1.17085        -1081.93       0.072942        9.33629      -0.0353206      0.0718308        9.19407
       3        0.508057         13.9178     0.00883369        1.13068         -1081.6      0.0713032        9.12653       0.0644596      0.0702405        8.99051
       4        0.501892         14.2057     0.00934497        1.19612        -1081.55      0.0748792        9.58425      -0.0589276      0.0767762        9.82706
       5        0.500366         13.8024     0.00889511        1.13854        -1082.25      0.0714569         9.1462       0.0945454       0.073851        9.45264
       6        0.498108         13.9026     0.00858986        1.09947        -1081.91      0.0689814        8.82936      -0.0243471      0.0686602        8.78823
       7        0.500305         13.8121     0.00868939        1.11221        -1081.43      0.0710056        9.08844        0.167754      0.0696124        8.91012
       8        0.503418         13.8497     0.00837318        1.07173        -1082.79      0.0684759        8.76465       0.0956997      0.0748243        9.57721
   total        0.502319         13.9567     0.00319399        1.15634        -1081.84      0.0253663        9.18356       0.0334899      0.0253225        9.16769

    mode      occupation             +/-         std dev
     -14       0.0250895     5.02882e-05       0.0182062
     -13       0.0416482     7.20861e-05       0.0260979
     -12       0.0699526     0.000102136       0.0369771
     -11        0.120283     0.000145423       0.0526485
     -10        0.208417     0.000208533       0.0754966
      -9        0.363675     0.000302921        0.109669
      -8        0.631274     0.000430524        0.155866
      -7         1.08709     0.000620331        0.224583
      -6         1.84593     0.000880471        0.318763
      -5         3.06517      0.00122704        0.444234
      -4         4.90879      0.00165712        0.599938
      -3         7.41016      0.00209836        0.759683
      -2         10.3654      0.00257959        0.933909
      -1         12.8754      0.00293596         1.06293
       0         13.9567      0.00319399         1.15634
       1         12.8746      0.00295381         1.06939
       2         10.3609      0.00258864        0.937183
       3         7.41367      0.00209925        0.760007
       4         4.91468      0.00165191        0.598055
       5         3.06775      0.00122605        0.443877
       6         1.84749     0.000881829        0.319255
       7         1.08692     0.000622327        0.225306
       8        0.630578     0.000430575        0.155884
       9        0.362875     0.000304198        0.110131
      10        0.208479     0.000208108       0.0753429
      11        0.120538     0.000146389       0.0529984
      12       0.0699187     0.000102372       0.0370625
      13       0.0415785     7.17726e-05       0.0259844
      14       0.0250066     5.01366e-05       0.0181513
