14 -0.018669151629786863
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.480225         13.8888      0.0154817         1.9816        -1024.85        3.01787        386.275       0.0934905      0.0648456        8.29998
  accept        0.502991         14.0379     0.00964179        1.23411         -1083.8      0.0714714        9.14806       -0.105387       0.075092        9.61148
       1        0.498169         13.9396       0.010095        1.29212        -1083.56      0.0725795        9.28989       0.0940107      0.0661457         8.4664
       2        0.497681         13.8582     0.00903255        1.15613        -1082.95      0.0768277        9.83364        0.175904      0.0685617        8.77563
       3         0.49585         13.8145     0.00914609        1.17066        -1084.27       0.073684        9.43126       -0.034697      0.0731097        9.35776
       4        0.500244         13.7364     0.00842491        1.07836        -1084.85      0.0697668        8.92987       0.0164514      0.0726935        9.30448
       5             0.5         13.7699     0.00881306        1.12804        -1083.13      0.0766333        9.80876      -0.0092201      0.0770469         9.8617
       6        0.491943         13.8633     0.00863859        1.10571        -1083.37      0.0749701        9.59589         0.16342      0.0716967        9.17689
       7        0.499207         13.8841     0.00836328        1.07047        -1083.86      0.0757775        9.69922       -0.106166      0.0694978        8.89544
       8         0.49939         13.5825     0.00804725        1.03002        -1084.02      0.0730266        9.34712       -0.100571      0.0695448        8.90146
   total         0.49781         13.8061     0.00313826        1.13617        -1083.75      0.0262797        9.51424       0.0248915        0.02514        9.10161

    mode      occupation             +/-         std dev
     -15         0.01776     3.91589e-05        0.014177
     -14       0.0276011     5.34092e-05       0.0193361
     -13       0.0454423     7.60633e-05       0.0275377
     -12       0.0744466     0.000105022       0.0380219
     -11        0.127009     0.000151066       0.0546916
     -10        0.218658     0.000214287       0.0775798
      -9        0.377825      0.00030665        0.111019
      -8        0.647872      0.00043521        0.157562
      -7         1.11491     0.000622676        0.225432
      -6         1.87388     0.000876353        0.317272
      -5         3.09868      0.00119967        0.434326
      -4         4.93047      0.00161428         0.58443
      -3          7.4069      0.00212692        0.770024
      -2           10.32      0.00258803        0.936963
      -1         12.8153      0.00290773         1.05271
       0         13.8061      0.00313826         1.13617
       1         12.8108      0.00291676         1.05597
       2         10.3228      0.00257263        0.931389
       3         7.40334      0.00213177        0.771779
       4         4.93104      0.00161888        0.586095
       5         3.10139      0.00120148        0.434981
       6         1.87568     0.000877956        0.317853
       7         1.11483     0.000622513        0.225373
       8        0.647841     0.000437247          0.1583
       9        0.377635     0.000307186        0.111213
      10        0.219174     0.000214699        0.077729
      11        0.127301     0.000151195       0.0547381
      12       0.0746317     0.000105042       0.0380291
      13       0.0454727     7.62124e-05       0.0275917
      14       0.0275492     5.31897e-05       0.0192567
      15       0.0177663     3.90887e-05       0.0141516
