12 -0.01884362968240169
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.486938         13.6862       0.016453        2.10592        -1016.28        4.33712        555.135        0.152155      0.0954094         12.212
  accept        0.504089         14.2018     0.00882348        1.12937        -1097.59      0.0664576        8.50632       0.0488784      0.0724139        9.26869
  accept        0.503479         13.9572     0.00831228        1.06394        -1098.14      0.0671918        8.60029        0.043673      0.0707455        9.05515
  accept        0.495117         13.9173     0.00816022        1.04448         -1098.8      0.0679653        8.69929       -0.107122      0.0686907        8.79214
       1        0.499329          13.945     0.00902686         1.1554        -1097.15      0.0710742        9.09723      -0.0607578      0.0765214        9.79444
       2        0.500488         13.9886     0.00896646        1.14767         -1097.6      0.0681212        8.71925      -0.0152152      0.0698777        8.94407
       3        0.500122         13.8539     0.00879218        1.12536        -1097.89      0.0677859        8.67632      0.00792482      0.0745698        9.54465
       4        0.500305         13.9839     0.00852937        1.09173         -1097.8      0.0658047        8.42274       0.0555593      0.0694723        8.89219
       5        0.506897         14.0513     0.00858153         1.0984        -1097.12      0.0701226        8.97542      -0.0334426      0.0726055        9.29322
       6        0.501404         13.9167     0.00839011         1.0739        -1097.32      0.0707035        9.04977      -0.0511887      0.0703275        9.00164
       7        0.497925         13.9533     0.00903494        1.15644        -1097.71       0.066242        8.47871        0.142737      0.0736519        9.42715
       8        0.498718         14.1873        0.00871        1.11485        -1097.59      0.0679143        8.69277       0.0465855      0.0729575        9.33828
   total        0.500648          13.985      0.0031066         1.1247        -1097.52      0.0242275        8.77127       0.0115253      0.0256442        9.28414

    mode      occupation             +/-         std dev
     -13       0.0380786     6.74837e-05       0.0244316
     -12        0.065112     9.77945e-05       0.0354053
     -11         0.11313      0.00014156       0.0512498
     -10        0.198349     0.000205057       0.0742381
      -9        0.347996     0.000295411         0.10695
      -8        0.612983     0.000432166         0.15646
      -7         1.06627     0.000609032        0.220492
      -6         1.82884     0.000879503        0.318413
      -5           3.055      0.00120451        0.436077
      -4         4.89114      0.00163505        0.591948
      -3         7.42805       0.0021186        0.767011
      -2         10.3886      0.00262161        0.949121
      -1         12.9704      0.00296579         1.07373
       0          13.985       0.0031066          1.1247
       1         12.9729      0.00296178         1.07227
       2         10.3907      0.00262014        0.948587
       3         7.43124      0.00211892        0.767129
       4         4.88859      0.00163031        0.590232
       5         3.05769      0.00120626        0.436712
       6         1.82905      0.00087585         0.31709
       7         1.06584     0.000610535        0.221036
       8        0.612858     0.000432451        0.156563
       9        0.347674     0.000294822        0.106737
      10        0.198043     0.000204641       0.0740877
      11        0.113353     0.000142139       0.0514595
      12        0.065074     9.75219e-05       0.0353066
      13        0.037998     6.76882e-05       0.0245056
