13 -0.01884362968240169
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.487732         13.7804      0.0109243        1.39827        -1025.03        4.68973        600.267      0.00153329      0.0827905        10.5969
  accept        0.493286         13.8282     0.00880301        1.12675        -1101.46      0.0695978        8.90825        0.100748       0.070022        8.96255
  accept        0.500183         13.8036     0.00866691        1.10933        -1102.46      0.0712011        9.11346      -0.0742427      0.0699731        8.95629
       1        0.496887         14.0112     0.00893262        1.14334        -1102.33       0.069859        8.94167      -0.0421012       0.067349         8.6204
       2        0.507202         13.8451     0.00914098        1.17001         -1101.1      0.0749434        9.59246       0.0167717       0.074534        9.54006
       3        0.500366         14.1017     0.00848542         1.0861        -1102.52      0.0674388        8.63191       -0.117126      0.0721279        9.23209
       4        0.497009         13.7873     0.00835474        1.06937        -1101.98      0.0691213        8.84726       -0.201165      0.0709279        9.07849
       5        0.496155         13.8918     0.00847314        1.08453        -1102.48      0.0671614        8.59639       0.0150771      0.0663639        8.49431
       6        0.494751         13.7257     0.00906317        1.16005        -1101.96      0.0711249        9.10371      -0.0316316      0.0726137        9.29428
       7        0.495178          13.736     0.00793658        1.01585        -1102.27       0.071225        9.11653       -0.105252      0.0707448        9.05505
       8        0.499207         13.6933      0.0082707        1.05862        -1102.38      0.0699417        8.95226       -0.127335      0.0755625         9.6717
   total        0.498344          13.849     0.00306047        1.10801        -1102.13      0.0248256         8.9878      -0.0740954      0.0252221        9.13135

    mode      occupation             +/-         std dev
     -14       0.0264735     5.21791e-05       0.0188908
     -13         0.04299     7.20859e-05       0.0260978
     -12        0.072636     0.000103564        0.037494
     -11        0.123576     0.000147315       0.0533336
     -10        0.215439     0.000212483       0.0769267
      -9        0.374409      0.00030571        0.110678
      -8        0.648044      0.00044313         0.16043
      -7         1.10936     0.000620792         0.22475
      -6         1.87345     0.000881508        0.319139
      -5         3.10331      0.00120451        0.436077
      -4         4.95856      0.00165452        0.598997
      -3         7.44893        0.002146        0.776933
      -2         10.3203        0.002609        0.944555
      -1         12.7677      0.00292737         1.05982
       0          13.849      0.00306047         1.10801
       1         12.7644      0.00292662         1.05955
       2         10.3186      0.00261201        0.945643
       3         7.44424      0.00213692        0.773646
       4         4.95477      0.00165374        0.598716
       5          3.1032      0.00119918        0.434147
       6         1.86982     0.000879954        0.318576
       7         1.10787      0.00062037        0.224597
       8        0.647727     0.000442881        0.160339
       9        0.373946     0.000305225        0.110503
      10        0.215485     0.000212183       0.0768181
      11         0.12348     0.000147546        0.053417
      12       0.0726854     0.000104168       0.0377127
      13       0.0430583     7.21445e-05        0.026119
      14       0.0264922      5.2112e-05       0.0188665
