14 -0.01884362968240169
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.489197         15.8106       0.071951        9.20944        -984.649        5.46345        699.301       -0.142672      0.0693485        8.87633
  accept        0.506592         13.5443     0.00890909        1.14033        -1105.29      0.0724786        9.27698        0.139002      0.0706672        9.04512
       1        0.501221         13.5854     0.00839939        1.07509        -1103.72       0.076355        9.77314        0.125359      0.0768471        9.83613
       2        0.496216         13.6228     0.00896674        1.14771        -1104.12      0.0738166        9.44824       0.0688441      0.0671273        8.59203
       3        0.503845         13.7356     0.00963078         1.2327        -1104.28      0.0771239        9.87156       0.0102797      0.0681908        8.72816
       4        0.497742         13.7795     0.00867509        1.11038        -1104.78      0.0746893        9.55994      -0.0743167      0.0719729        9.21225
       5        0.498901         13.5137     0.00828535        1.06049        -1104.37      0.0727614        9.31318       -0.120442      0.0774146        9.90876
       6        0.501221         13.5056     0.00928273        1.18815        -1104.25      0.0736319        9.42459      -0.0673245      0.0672774        8.61125
       7         0.49646         13.8593     0.00917539        1.17441        -1103.95      0.0729617        9.33881      -0.0463159      0.0777073        9.94623
       8        0.501526          13.391     0.00855159        1.09457        -1103.71      0.0801626        10.2605       0.0178967      0.0671326         8.5927
   total        0.499641         13.6241     0.00316634        1.14633        -1104.15      0.0266108        9.63409      -0.0107524      0.0254044        9.19734

    mode      occupation             +/-         std dev
     -15       0.0183212     3.98239e-05       0.0144177
     -14       0.0290804     5.62004e-05       0.0203466
     -13       0.0464518     7.65099e-05       0.0276994
     -12       0.0785132     0.000108043       0.0391157
     -11        0.134065      0.00015443       0.0559095
     -10         0.22696     0.000221763       0.0802866
      -9        0.390186     0.000316776        0.114685
      -8        0.668659     0.000438162        0.158631
      -7         1.13427     0.000622755        0.225461
      -6         1.91238     0.000898293        0.325215
      -5         3.14388      0.00119967        0.434327
      -4         4.97652      0.00160992         0.58285
      -3         7.46971      0.00209054        0.756853
      -2         10.3058      0.00258004        0.934071
      -1         12.6575      0.00293438         1.06235
       0         13.6241      0.00316634         1.14633
       1         12.6553      0.00293993         1.06437
       2         10.3014      0.00255844        0.926251
       3         7.46662      0.00207665        0.751824
       4         4.97652      0.00160987        0.582833
       5         3.14414      0.00119551        0.432818
       6         1.91186     0.000899358        0.325601
       7         1.13418     0.000623219        0.225629
       8         0.66879     0.000438595        0.158788
       9        0.390701     0.000315369        0.114175
      10        0.227632     0.000222642       0.0806047
      11        0.134022     0.000153468       0.0555611
      12       0.0785066     0.000108323        0.039217
      13       0.0463559     7.66979e-05       0.0277675
      14       0.0291343     5.60487e-05       0.0202917
      15       0.0183661     4.00611e-05       0.0145036
