12 -0.019018107735016523
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.484375         14.4584      0.0280171        3.58608        -1051.96        3.25699        416.882      -0.0254153      0.0713846        9.13695
  accept        0.497314         13.7095      0.0079276         1.0147        -1117.46      0.0708242        9.06522        0.012947      0.0746482        9.55468
       1        0.502197         13.9485     0.00966223        1.23673        -1117.43      0.0710568        9.09499       0.0524064      0.0735126        9.40933
       2        0.504517         13.7467     0.00918769        1.17599        -1116.72      0.0693842        8.88091       0.0536817      0.0693809        8.88049
       3        0.505188         13.9273     0.00967283        1.23809        -1116.85      0.0692803        8.86761       0.0430421      0.0790365        10.1164
       4        0.495117         13.8332     0.00952112        1.21867        -1118.17      0.0655853        8.39467      -0.0639397      0.0759025        9.71522
       5        0.500977         13.6335     0.00915102        1.17129        -1117.05      0.0697968        8.93371      -0.0323319      0.0736677        9.42918
       6        0.497009         13.7247     0.00833983        1.06747        -1117.93      0.0692682        8.86606      -0.0161898      0.0720914        9.22742
       7         0.50177         13.9689     0.00902023        1.15455        -1118.04      0.0654519        8.37759      -0.0144819      0.0739489        9.46517
       8        0.501404         13.8888     0.00844595        1.08105        -1117.84       0.065756        8.41652      -0.0330197      0.0713941        9.13816
   total        0.501022         13.8339     0.00324563        1.17504         -1117.5      0.0241661        8.74904      -0.0013541      0.0260443        9.42902

    mode      occupation             +/-         std dev
     -13       0.0395537     6.96985e-05       0.0252335
     -12       0.0669462     9.93749e-05       0.0359774
     -11        0.117253     0.000142849       0.0517166
     -10        0.204242      0.00020579       0.0745036
      -9        0.357098     0.000295676        0.107046
      -8        0.626062     0.000432585        0.156612
      -7         1.08593     0.000615793         0.22294
      -6         1.84145     0.000856886        0.310225
      -5         3.07936      0.00119832        0.433835
      -4         4.93108      0.00165301         0.59845
      -3         7.47526      0.00208273        0.754027
      -2         10.3913      0.00262974        0.952065
      -1         12.8686      0.00303579         1.09907
       0         13.8339      0.00324563         1.17504
       1         12.8661      0.00303589          1.0991
       2         10.3917      0.00262824        0.951522
       3         7.47539      0.00207252        0.750328
       4          4.9317      0.00164971        0.597258
       5         3.07745      0.00119273        0.431813
       6         1.84199     0.000860963        0.311701
       7         1.08615     0.000616564        0.223219
       8        0.626468     0.000433485        0.156938
       9        0.357253     0.000295482        0.106975
      10        0.204015     0.000204995        0.074216
      11        0.117374     0.000143369       0.0519049
      12       0.0667992      9.9595e-05       0.0360571
      13       0.0395813     6.94591e-05       0.0251468
