13 -0.019018107735016523
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init          0.4823         15.0453      0.0620624        7.94375        -1000.36        5.75428        736.525       0.0535024      0.0836113        10.7019
  accept          0.4953         13.7385      0.0084493        1.08148        -1122.61      0.0708329        9.06633       0.0113443       0.068805        8.80677
  accept        0.507629          13.446     0.00821989        1.05211        -1122.88      0.0681652        8.72488     7.86967e-05       0.069304        8.87064
  accept        0.505615         13.6918     0.00891559        1.14116        -1122.38      0.0728723        9.32737       0.0247381      0.0691866        8.85561
  accept        0.499878         13.6746     0.00868871        1.11212        -1123.15      0.0699887        8.95827        0.222395      0.0706424        9.04196
  accept        0.503723         13.6736     0.00776916       0.994422        -1123.87      0.0710884        9.09904       0.0233945      0.0696792        8.91867
  accept         0.49823         13.6634     0.00833869        1.06732        -1123.26      0.0699311        8.95091       0.0453882      0.0781125         9.9981
       1        0.499084         13.9177     0.00925754        1.18493        -1122.82       0.070246        8.99122      -0.0193707       0.070491        9.02257
       2        0.494385         13.8176     0.00815506        1.04382        -1122.05      0.0712694         9.1222        -0.12392      0.0704373         9.0157
       3        0.501038         13.9538     0.00809778        1.03648        -1121.51       0.067382        8.62463       0.0291898       0.078457        10.0422
       4        0.505066         13.5876     0.00879057        1.12516        -1122.16      0.0703521        9.00479       0.0465441      0.0701839        8.98326
       5        0.496887         13.5297     0.00873219        1.11769        -1123.58      0.0722294        9.24508       -0.123619      0.0699773        8.95682
       6        0.499146         13.5903     0.00876969        1.12249         -1122.7      0.0682364        8.73399      -0.0740546      0.0724274        9.27042
       7        0.497437         13.7465     0.00901376        1.15373        -1122.06      0.0686327        8.78472       0.0708154      0.0688527        8.81288
       8        0.499146         13.6606     0.00868627        1.11181        -1123.57      0.0708628        9.07016       0.0874574      0.0673731        8.62349
   total        0.499023         13.7255     0.00310167        1.12292        -1122.56      0.0247944        8.97652      -0.0133696      0.0251349        9.09977

    mode      occupation             +/-         std dev
     -14       0.0271259     5.24329e-05       0.0189827
     -13       0.0447708     7.41872e-05       0.0268585
     -12       0.0754016     0.000106921       0.0387093
     -11        0.129187     0.000150083       0.0543358
     -10        0.221264     0.000214181       0.0775417
      -9        0.384684     0.000312345         0.11308
      -8        0.659726       0.0004393        0.159043
      -7          1.1258     0.000620664        0.224703
      -6         1.89426     0.000879689         0.31848
      -5         3.13642      0.00120132        0.434921
      -4         4.96523      0.00159638        0.577948
      -3         7.43293      0.00212239        0.768385
      -2         10.3072      0.00257275        0.931432
      -1          12.731       0.0029051         1.05175
       0         13.7255      0.00310167         1.12292
       1         12.7399      0.00291663         1.05593
       2          10.308      0.00257255        0.931358
       3         7.42984      0.00211215        0.764678
       4         4.96436       0.0015981        0.578572
       5         3.13713      0.00120119        0.434876
       6         1.89356       0.0008813        0.319063
       7         1.12529      0.00062133        0.224945
       8        0.659835     0.000438179        0.158637
       9        0.384096     0.000313467        0.113487
      10        0.221122     0.000214473       0.0776471
      11        0.129359     0.000150416       0.0544564
      12       0.0752877     0.000106331       0.0384959
      13       0.0446479     7.39212e-05       0.0267622
      14       0.0271418     5.24314e-05       0.0189821
