14 -0.019018107735016523
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.483276         13.4322      0.0124322        1.59127        -1054.74        4.42736        566.685       0.0337805      0.0805589        10.3112
  accept        0.497742          13.439     0.00847906        1.08529           -1126      0.0718267        9.19354       0.0652631      0.0754039         9.6514
  accept        0.500305         13.6813     0.00846478        1.08346        -1123.84      0.0724527        9.27366       0.0236197      0.0757866        9.70039
       1             0.5         13.4352     0.00943862        1.20811        -1125.39      0.0682967        8.74171       0.0821794      0.0739529        9.46569
       2         0.50293         13.4623     0.00904192        1.15733         -1124.9      0.0734158        9.39693       -0.135882       0.069975        8.95653
       3        0.499878         13.5218     0.00907651        1.16176        -1124.38      0.0714153        9.14087       -0.010593      0.0737663         9.4418
       4        0.494507         13.5509      0.0082798        1.05978        -1126.51      0.0694703        8.89193      -0.0555053      0.0709454        9.08074
       5        0.500427         13.5818     0.00849906        1.08785        -1124.96      0.0680215        8.70649      -0.0785053      0.0710514         9.0943
       6         0.49469         13.6923     0.00920644        1.17839        -1125.73      0.0701307        8.97645      -0.0270494      0.0667676        8.54599
       7        0.501404         13.5293     0.00914173        1.17011        -1124.17      0.0743915        9.52183      -0.0371586      0.0787191        10.0757
       8         0.49585         13.8094     0.00943809        1.20804        -1124.81        0.06936        8.87781      -0.0103552      0.0736914        9.43222
   total        0.498711         13.5729     0.00320608        1.16072        -1125.11      0.0250344        9.06339      -0.0341086      0.0256085        9.27122

    mode      occupation             +/-         std dev
     -15       0.0188267     3.99457e-05       0.0144618
     -14       0.0297575     5.57504e-05       0.0201837
     -13       0.0488506     7.89469e-05       0.0285817
     -12       0.0813907     0.000109927       0.0397976
     -11        0.137166     0.000153725       0.0556542
     -10        0.235979     0.000223736       0.0810009
      -9        0.399835      0.00031794        0.115106
      -8        0.681028     0.000446245        0.161557
      -7         1.16529     0.000628376        0.227495
      -6           1.939     0.000876223        0.317226
      -5         3.19198      0.00120979         0.43799
      -4         5.02153      0.00162835        0.589524
      -3         7.46753      0.00208968        0.756543
      -2         10.2103      0.00248623        0.900108
      -1         12.5927      0.00294612         1.06661
       0         13.5729      0.00320608         1.16072
       1          12.585      0.00294165         1.06499
       2         10.2083      0.00249509        0.903316
       3         7.46727      0.00208573        0.755112
       4         5.01673      0.00163159        0.590697
       5          3.1927      0.00121304        0.439167
       6         1.93796     0.000878458        0.318035
       7         1.16605     0.000631468        0.228615
       8        0.679932     0.000446506        0.161652
       9        0.400005     0.000316794        0.114691
      10        0.235538     0.000224303       0.0812061
      11        0.137587     0.000154197        0.055825
      12       0.0813055     0.000109908       0.0397907
      13       0.0489939     7.91307e-05       0.0286483
      14       0.0298381     5.59915e-05        0.020271
      15        0.018834     4.00997e-05       0.0145176
