12 -0.019192585787631354
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.487671         14.1606      0.0263203        3.36889        -1068.69        4.11947        527.276     -0.00691326      0.0786823         10.071
  accept        0.498535          13.695     0.00786321        1.00646        -1138.05      0.0659669         8.4435       0.0505326      0.0670073        8.57668
  accept        0.498169         13.8687     0.00831973        1.06489        -1137.74      0.0680276        8.70727      -0.0617386      0.0753925        9.64994
  accept        0.500183          13.887     0.00824982        1.05595        -1139.37      0.0638487        8.17238        0.105524      0.0728483        9.32429
       1        0.497742         13.8964     0.00892551        1.14243        -1138.21       0.065623        8.39949      -0.0469813      0.0691786        8.85459
       2         0.50177         13.7772     0.00838288        1.07298        -1137.28      0.0683268        8.74557        -0.10473      0.0732319         9.3734
       3        0.507202          13.814     0.00793937        1.01621        -1138.21      0.0693838        8.88085      -0.0240341      0.0700268        8.96316
       4         0.50592         13.8618     0.00897655        1.14896        -1137.78      0.0705816        9.03417       0.0135774      0.0732888        9.38068
       5         0.50061         13.7161     0.00829798        1.06211        -1138.31      0.0663227        8.48905      -0.0883693      0.0764241        9.78198
       6        0.502991         13.7578     0.00814922        1.04307        -1138.48      0.0684616        8.76281       -0.105239       0.073671        9.42961
       7        0.502991         13.7891     0.00833894        1.06735         -1137.3       0.066977        8.57279       0.0269596      0.0743309        9.51407
       8        0.503052         13.7617     0.00875602        1.12074        -1137.38      0.0678567        8.68539      -0.0768878      0.0756998        9.68928
   total        0.502785         13.7968     0.00300113        1.08652        -1137.87      0.0240598        8.71054      -0.0507131      0.0259036        9.37807

    mode      occupation             +/-         std dev
     -13       0.0408722     7.09514e-05        0.025687
     -12       0.0692976     9.97112e-05       0.0360992
     -11        0.120372     0.000146387       0.0529975
     -10        0.208861     0.000208487       0.0754801
      -9        0.364465     0.000298706        0.108143
      -8        0.645182     0.000437478        0.158383
      -7         1.10329      0.00061509        0.222685
      -6         1.87832     0.000871799        0.315624
      -5         3.11276       0.0012212        0.442121
      -4         4.96021      0.00162003        0.586511
      -3         7.43849      0.00205191         0.74287
      -2         10.3762      0.00253572        0.918025
      -1         12.7912      0.00287808         1.04197
       0         13.7968      0.00300113         1.08652
       1         12.7896      0.00287549         1.04103
       2         10.3692      0.00253216        0.916737
       3         7.43663      0.00204732        0.741205
       4         4.95883        0.001622        0.587223
       5         3.11053      0.00122482        0.443431
       6         1.87811     0.000873799        0.316348
       7         1.10251     0.000617725        0.223639
       8        0.644422     0.000437154        0.158266
       9        0.364758     0.000299056        0.108269
      10        0.208499     0.000208457       0.0754692
      11        0.120546     0.000146213       0.0529345
      12       0.0694401     9.99536e-05       0.0361869
      13       0.0406472     7.03965e-05       0.0254861
