13 -0.019192585787631354
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.487915         14.2731      0.0333999        4.27505        -1063.46        3.99616        511.493        0.134072      0.0778303        9.96197
  accept             0.5         13.4823     0.00895586        1.14631        -1144.41      0.0664527        8.50569        0.012277      0.0632526        8.09608
  accept        0.505554         13.8288     0.00924587        1.18343         -1143.5      0.0688484        8.81233      -0.0213169      0.0731256        9.35979
  accept        0.503906         13.5028     0.00855067        1.09445        -1142.24      0.0703902        9.00967       0.0931511      0.0708304        9.06601
  accept        0.494934         13.5258     0.00869063        1.11237        -1143.07       0.070759        9.05688      -0.0419237      0.0701367        8.97722
  accept        0.503723         13.4977     0.00927683         1.1874        -1143.46       0.070071        8.96882       0.0844445      0.0703171        9.00031
  accept        0.501038         13.6863     0.00843441        1.07957        -1143.52      0.0695534        8.90256      -0.0565163      0.0700661        8.96819
  accept        0.498108         13.5514     0.00842198        1.07798        -1143.28      0.0721171         9.2307     -0.00227624      0.0729765        9.34071
       1        0.506226         13.4832     0.00811208        1.03831        -1142.39      0.0718048        9.19073      -0.0527715      0.0675097        8.64098
       2         0.50708         13.5129     0.00920255        1.17789        -1143.75      0.0702906        8.99692      -0.0879035      0.0710004        9.08777
       3        0.502319         13.4897     0.00916959        1.17367        -1142.97      0.0725759        9.28943      -0.0954252      0.0762515         9.7599
       4        0.495728         13.6118     0.00922076        1.18022         -1142.6      0.0712393        9.11835      0.00257793      0.0743947        9.52223
       5        0.503113         13.4083     0.00876816        1.12229        -1143.69       0.071898        9.20266       0.0187824      0.0683361        8.74676
       6        0.497559         13.7079     0.00857336        1.09736        -1142.76      0.0696497        8.91489       0.0156717      0.0731831        9.36715
       7        0.499023         13.6599     0.00780094        0.99849        -1143.54      0.0717012        9.17747       0.0374846      0.0729673        9.33953
       8        0.502258         13.4684     0.00874366        1.11915        -1143.39      0.0705888        9.03509      -0.0593209      0.0741018        9.48474
   total        0.501663         13.5428     0.00309207        1.11944        -1143.14      0.0252167        9.12937      -0.0276131      0.0255517        9.25068

    mode      occupation             +/-         std dev
     -14       0.0284321     5.42868e-05       0.0196538
     -13       0.0465363      7.5682e-05       0.0273997
     -12       0.0786376     0.000107106       0.0387763
     -11        0.131115     0.000151298       0.0547757
     -10        0.230779     0.000220366       0.0797807
      -9        0.398653     0.000313043        0.113333
      -8        0.684942     0.000448767        0.162471
      -7         1.15747      0.00063181        0.228739
      -6         1.93654     0.000885184         0.32047
      -5         3.17738      0.00121269         0.43904
      -4         5.01123      0.00160162        0.579847
      -3         7.49886      0.00209963        0.760143
      -2         10.2559      0.00255546        0.925173
      -1          12.595       0.0028471         1.03076
       0         13.5428      0.00309207         1.11944
       1         12.5926      0.00285023         1.03189
       2         10.2533       0.0025592        0.926525
       3         7.50153      0.00210018        0.760345
       4         5.01358      0.00160223        0.580068
       5         3.17496      0.00121201        0.438792
       6         1.93561     0.000882336        0.319439
       7         1.15667     0.000629992        0.228081
       8        0.684551     0.000447844        0.162136
       9        0.397918     0.000313036        0.113331
      10        0.230092      0.00022044       0.0798075
      11        0.131387     0.000152459       0.0551957
      12       0.0786338     0.000106924       0.0387104
      13       0.0465353     7.61297e-05       0.0275618
      14       0.0283873     5.42057e-05       0.0196245
