14 -0.019192585787631354
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.479309         13.1237      0.0129122        1.65271        -1056.65        4.90918        628.356       0.0433758      0.0914139        11.7006
  accept         0.50116         13.5225     0.00846893        1.08399        -1146.31      0.0752063        9.62611       -0.131618      0.0712571        9.12063
       1        0.502441         13.5679     0.00883901        1.13136        -1146.51      0.0717664        9.18582       0.0461193      0.0735357        9.41228
       2        0.499084         13.4225       0.008823        1.12931        -1146.23       0.073849        9.45238      0.00987919      0.0793596        10.1577
       3        0.505859           13.57     0.00881014        1.12766        -1146.09      0.0701673        8.98115      0.00450691      0.0747874        9.57249
       4        0.499573         13.6155     0.00866586         1.1092        -1145.06      0.0758785        9.71215      -0.0397473      0.0747641        9.56951
       5        0.500366         13.4714     0.00853072         1.0919        -1146.48      0.0744286        9.52658      -0.0401166      0.0747729        9.57064
       6        0.499268         13.5254     0.00951958        1.21847        -1147.58      0.0710199        9.09026       0.0299405      0.0753013        9.63827
       7        0.496826         13.5284     0.00893006        1.14301         -1146.3      0.0732894        9.38076      -0.0305282      0.0664216         8.5017
       8        0.500793          13.454     0.00824799        1.05571        -1145.77      0.0733432        9.38765       0.0134167      0.0719061         9.2037
   total        0.500526         13.5194     0.00311659        1.12832        -1146.25      0.0258698        9.36582    -0.000816192      0.0261389        9.46327

    mode      occupation             +/-         std dev
     -15        0.019704     4.12987e-05       0.0149517
     -14       0.0311059     5.70539e-05       0.0206556
     -13        0.050833     8.03736e-05       0.0290982
     -12       0.0850839     0.000112216       0.0406262
     -11        0.142725     0.000159159       0.0576216
     -10        0.245357     0.000224458       0.0812622
      -9        0.416836     0.000322581        0.116786
      -8        0.704801      0.00045252        0.163829
      -7         1.18217     0.000637025        0.230627
      -6         1.97162     0.000899099        0.325508
      -5         3.20669      0.00120459        0.436108
      -4         5.03023      0.00161175        0.583515
      -3         7.45566      0.00206478        0.747526
      -2         10.1808      0.00247048        0.894407
      -1         12.5171      0.00293944         1.06419
       0         13.5194      0.00311659         1.12832
       1         12.5139      0.00293379         1.06214
       2         10.1827      0.00247422        0.895761
       3         7.45469      0.00206288        0.746839
       4          5.0341      0.00161115        0.583295
       5         3.20456       0.0012033        0.435638
       6          1.9712     0.000897065        0.324771
       7         1.18272     0.000637804        0.230909
       8        0.704527     0.000451091        0.163312
       9        0.416753     0.000322645        0.116809
      10        0.245181     0.000224643       0.0813292
      11        0.142859     0.000159181       0.0576296
      12       0.0850902      0.00011259       0.0407618
      13         0.05073     8.01277e-05       0.0290092
      14       0.0310924     5.74327e-05       0.0207928
      15        0.019709      4.1335e-05       0.0149648
