12 -0.015703024735334744
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init         0.49939         16.3183      0.0113026        1.44669         -759.34       0.448745        57.4376        0.096922       0.072297        9.25373
  accept        0.502747         16.2773      0.0113112        1.44779        -760.366      0.0690148        8.83362       0.0869571      0.0732738        9.37876
       1        0.496521         16.3622      0.0111334        1.42503        -760.541      0.0685398        8.77283       0.0174899      0.0717848        9.18818
   total        0.496521         16.3622      0.0111334        1.42503        -760.541      0.0685398        8.77283       0.0174899      0.0717848        9.18818

    mode      occupation             +/-         std dev
     -13       0.0199287      0.00013288       0.0170081
     -12       0.0323114     0.000190134       0.0243364
     -11       0.0555306     0.000276764       0.0354247
     -10        0.100344     0.000416985       0.0533724
      -9         0.18535     0.000634217       0.0811773
      -8        0.350796     0.000960254        0.122909
      -7        0.663005      0.00145985        0.186855
      -6         1.24304      0.00220037        0.281639
      -5          2.3106      0.00329469        0.421708
      -4         4.15572      0.00475749         0.60894
      -3          7.0762      0.00666257        0.852783
      -2         10.9138      0.00862273         1.10368
      -1         14.7026       0.0105024         1.34427
       0         16.3622       0.0111334         1.42503
       1         14.6769       0.0105195         1.34645
       2         10.9829      0.00875693         1.12085
       3         7.07094      0.00668503        0.855657
       4         4.14174      0.00483714        0.619135
       5         2.30323      0.00330131        0.422554
       6         1.24529      0.00224746        0.287666
       7        0.662363      0.00146609        0.187653
       8        0.351975     0.000961501        0.123068
       9        0.186164     0.000621865       0.0795963
      10       0.0997631     0.000413911        0.052979
      11       0.0558396     0.000279799       0.0358131
      12        0.032115     0.000189194        0.024216
      13       0.0193712     0.000130323       0.0166808
