13 -0.015703024735334744
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.486084         16.1997      0.0111126        1.42237        -758.618       0.361369        46.2538        0.115682      0.0720095        9.21693
  accept        0.506592         16.2093      0.0110076        1.40893        -759.636      0.0708019        9.06237        0.131833      0.0723348        9.25858
       1        0.504456         16.1887      0.0113366        1.45105        -759.522      0.0711596        9.10815       -0.130438      0.0723195        9.25661
   total        0.504456         16.1887      0.0113366        1.45105        -759.522      0.0711596        9.10815       -0.130438      0.0723195        9.25661

    mode      occupation             +/-         std dev
     -14       0.0140099     9.94402e-05        0.012728
     -13       0.0212703     0.000139658       0.0178756
     -12         0.03421     0.000195848       0.0250678
     -11       0.0597617     0.000290424       0.0371731
     -10         0.10599     0.000428259       0.0548154
      -9        0.195864     0.000647191       0.0828379
      -8        0.367109     0.000983746        0.125916
      -7        0.683629      0.00148687        0.190314
      -6         1.27363      0.00222335         0.28458
      -5         2.34703      0.00330811        0.423425
      -4         4.18904      0.00478817        0.612868
      -3         7.09498      0.00660038        0.844823
      -2         10.9115      0.00878613         1.12459
      -1         14.6328        0.010405          1.3318
       0         16.1887       0.0113366         1.45105
       1         14.6089       0.0104068         1.33203
       2         10.9114      0.00870216         1.11384
       3         7.07164      0.00665404        0.851691
       4         4.19569      0.00483394        0.618725
       5         2.34215      0.00333017        0.426249
       6         1.27335      0.00222124         0.28431
       7        0.683352      0.00147268        0.188497
       8        0.361874     0.000975734         0.12489
       9        0.196716     0.000645469       0.0826175
      10        0.106483      0.00043199       0.0552931
      11       0.0592127     0.000287891       0.0368489
      12       0.0344353     0.000196124       0.0251031
      13       0.0210482     0.000136585       0.0174823
      14       0.0140506     9.94636e-05       0.0127309
