14 -0.015703024735334744
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.492798         16.1298      0.0112649        1.44187        -756.421       0.546609        69.9639        0.361713      0.0720505        9.22218
    init        0.501953         16.1382      0.0113466        1.45232        -757.623      0.0735912        9.41939        0.112665      0.0727294        9.30907
       1        0.496643         16.1479      0.0110027         1.4083        -757.782      0.0732684        9.37807      0.00999039      0.0724155        9.26891
   total        0.496643         16.1479      0.0110027         1.4083        -757.782      0.0732684        9.37807      0.00999039      0.0724155        9.26891

    mode      occupation             +/-         std dev
     -15       0.0102212     7.50316e-05      0.00960375
     -14       0.0146523     0.000102493       0.0131187
     -13        0.022317      0.00014369       0.0183917
     -12       0.0357655     0.000202239       0.0258858
     -11       0.0616505     0.000296208       0.0379135
     -10        0.110441     0.000435718       0.0557702
      -9        0.203178     0.000665069       0.0851263
      -8        0.373504     0.000985572        0.126149
      -7        0.695355      0.00150412        0.192521
      -6         1.29581       0.0022839        0.292331
      -5          2.3762       0.0033593        0.429977
      -4         4.18904      0.00479503        0.613745
      -3         7.11074      0.00660508        0.845424
      -2         10.8873      0.00852632         1.09134
      -1         14.5115       0.0105177         1.34622
       0         16.1479       0.0110027          1.4083
       1         14.5871       0.0105411         1.34922
       2         10.8794      0.00877109         1.12266
       3         7.10123      0.00668949        0.856229
       4         4.20405      0.00480913         0.61555
       5         2.36242      0.00330152        0.422582
       6         1.28978       0.0022292        0.285329
       7        0.699359      0.00150608        0.192772
       8        0.372972     0.000998235         0.12777
       9        0.202937     0.000661983       0.0847313
      10        0.109984     0.000441381       0.0564951
      11       0.0617052     0.000293933       0.0376222
      12       0.0362582     0.000202922       0.0259732
      13       0.0223266     0.000141612       0.0181258
      14       0.0145531     0.000101823        0.013033
      15       0.0103205     7.62013e-05      0.00975347
