12 -0.015877502787949575
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.498901         16.1548      0.0113631        1.45444        -777.255       0.339326        43.4324        0.260242      0.0717093        9.17851
    init        0.503662         16.1255       0.010904        1.39567        -777.992       0.068937        8.82366      -0.0441205      0.0719801        9.21317
       1        0.493958         16.1522      0.0110691         1.4168         -777.75      0.0684705        8.76395       0.0911469      0.0726919        9.30427
   total        0.493958         16.1522      0.0110691         1.4168         -777.75      0.0684705        8.76395       0.0911469      0.0726919        9.30427

    mode      occupation             +/-         std dev
     -13       0.0205667     0.000135543        0.017349
     -12       0.0337298     0.000191555       0.0245183
     -11       0.0584297      0.00028849       0.0369256
     -10        0.104954     0.000424801       0.0543728
      -9        0.194967     0.000648091       0.0829531
      -8        0.365776     0.000978841        0.125288
      -7        0.682468      0.00146256        0.187202
      -6         1.28323      0.00226232        0.289569
      -5         2.36221      0.00331348        0.424113
      -4         4.20386      0.00480766        0.615362
      -3         7.08802      0.00665176          0.8514
      -2         10.9346      0.00867636         1.11054
      -1         14.5638       0.0104437         1.33675
       0         16.1522       0.0110691          1.4168
       1         14.5908       0.0105082           1.345
       2         10.9398      0.00871677         1.11571
       3         7.11392      0.00671338        0.859287
       4         4.19761      0.00486864        0.623167
       5          2.3668       0.0033722        0.431628
       6         1.28343      0.00225172        0.288212
       7         0.68544      0.00148938        0.190635
       8        0.362323      0.00096374        0.123355
       9        0.194543     0.000640618       0.0819967
      10         0.10462     0.000425029        0.054402
      11        0.057676     0.000283779       0.0363227
      12       0.0338008     0.000195078       0.0249693
      13        0.020439     0.000133364       0.0170701
