13 -0.015877502787949575
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.500061         16.0864       0.011107        1.42165        -776.054       0.401244        51.3577       -0.180708      0.0729102        9.33222
  accept        0.499756         16.0362      0.0108231        1.38531        -777.082      0.0706493        9.04284       0.0392824      0.0729372        9.33568
       1        0.500061         16.0902      0.0110051         1.4086        -777.174      0.0711411        9.10579      -0.0345886      0.0728435        9.32369
   total        0.500061         16.0902      0.0110051         1.4086        -777.174      0.0711411        9.10579      -0.0345886      0.0728435        9.32369

    mode      occupation             +/-         std dev
     -14       0.0142093     0.000100837       0.0129067
     -13       0.0220034      0.00014199       0.0181741
     -12       0.0357709     0.000198422       0.0253973
     -11       0.0625948     0.000297472       0.0380752
     -10        0.110914     0.000438735       0.0561563
      -9        0.202987     0.000650875       0.0833095
      -8        0.378843     0.000996947        0.127605
      -7        0.705197      0.00149817         0.19176
      -6         1.30639      0.00224205        0.286973
      -5         2.38705        0.003367        0.430963
      -4          4.2584      0.00477469        0.611141
      -3         7.13011      0.00668255         0.85534
      -2          10.871      0.00870058         1.11364
      -1         14.4564       0.0103777          1.3283
       0         16.0902       0.0110051          1.4086
       1         14.4939       0.0103388         1.32332
       2         10.8867      0.00870203         1.11383
       3         7.12049      0.00659529        0.844171
       4         4.23754      0.00484531        0.620181
       5         2.39223      0.00339021        0.433934
       6          1.3055      0.00226325        0.289687
       7        0.707291      0.00151755        0.194241
       8        0.376606     0.000992045        0.126978
       9        0.203461     0.000664512       0.0850549
      10        0.110544     0.000435808       0.0557818
      11       0.0615101     0.000295365       0.0378056
      12       0.0358527     0.000199833       0.0255779
      13       0.0217634     0.000141267       0.0180816
      14       0.0145587     0.000101889       0.0130414
