14 -0.015877502787949575
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.501038          15.993      0.0111343        1.42515        -774.109       0.621324        79.5271       -0.180022      0.0724674        9.27554
  accept        0.496399         15.9666      0.0110406        1.41316        -775.296      0.0729181        9.33323      -0.0861708      0.0718924        9.20194
       1        0.494507         15.9442      0.0108612         1.3902        -775.438      0.0735458        9.41358      -0.0227574      0.0716257        9.16782
   total        0.494507         15.9442      0.0108612         1.3902        -775.438      0.0735458        9.41358      -0.0227574      0.0716257        9.16782

    mode      occupation             +/-         std dev
     -15       0.0106171     7.78391e-05       0.0099631
     -14        0.015206     0.000106844       0.0136756
     -13       0.0232469     0.000146919       0.0188051
     -12       0.0379628     0.000207746       0.0265907
     -11       0.0649962     0.000303812       0.0388867
     -10        0.115557     0.000449539       0.0575392
      -9        0.210306     0.000668457       0.0855598
      -8        0.390153      0.00101564        0.129998
      -7        0.718675       0.0015141        0.193799
      -6          1.3266      0.00225218         0.28827
      -5         2.41636      0.00339193        0.434154
      -4         4.28037      0.00480246        0.614697
      -3         7.12762      0.00655762         0.83935
      -2         10.8588      0.00859486         1.10011
      -1         14.4348       0.0102435         1.31112
       0         15.9442       0.0108612          1.3902
       1         14.4382       0.0103465         1.32431
       2         10.8619      0.00854795          1.0941
       3         7.12507      0.00659806        0.844526
       4         4.26408      0.00480275        0.614733
       5          2.4148      0.00334123        0.427665
       6         1.33205      0.00232157        0.297152
       7        0.718686      0.00153407        0.196355
       8        0.390048      0.00101401         0.12979
       9        0.211444      0.00067638        0.086574
      10        0.115625     0.000449215       0.0574978
      11       0.0656112     0.000303491       0.0388456
      12       0.0376872     0.000208278       0.0266587
      13       0.0233725     0.000147036       0.0188201
      14       0.0151925     0.000105664       0.0135246
      15       0.0106447     7.74972e-05      0.00991933
