12 -0.016051980840564403
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init         0.50354         16.0562      0.0112162        1.43563        -794.608       0.404234        51.7404       0.0730468      0.0720298        9.21954
  accept         0.50885         16.0077      0.0107719        1.37876        -795.622      0.0684286         8.7586       -0.105794      0.0722635        9.24945
       1        0.506897         16.0032      0.0108869        1.39348        -795.626      0.0683416        8.74746       -0.180809      0.0725872        9.29088
   total        0.506897         16.0032      0.0108869        1.39348        -795.626      0.0683416        8.74746       -0.180809      0.0725872        9.29088

    mode      occupation             +/-         std dev
     -13       0.0213648     0.000137022       0.0175382
     -12        0.034967     0.000196918       0.0252047
     -11       0.0605202     0.000292001       0.0373751
     -10        0.109986     0.000439694       0.0562791
      -9         0.20193     0.000654772       0.0838083
      -8        0.378373     0.000983165        0.125841
      -7        0.711803      0.00150963        0.193227
      -6          1.3138      0.00225753        0.288955
      -5         2.41068      0.00335321        0.429198
      -4         4.27183      0.00478003        0.611825
      -3          7.1415      0.00660738        0.845719
      -2         10.8841      0.00847255         1.08445
      -1         14.5003       0.0101772         1.30264
       0         16.0032       0.0108869         1.39348
       1         14.4381        0.010214         1.30736
       2         10.8852      0.00861823          1.1031
       3         7.14721      0.00664026        0.849927
       4         4.25402      0.00485801        0.621806
       5         2.39925      0.00334834        0.428575
       6         1.31737        0.002247        0.287607
       7        0.707183      0.00150447        0.192567
       8        0.378032      0.00099274        0.127067
       9        0.202565      0.00065267       0.0835392
      10        0.109842     0.000431288       0.0552031
      11       0.0608064     0.000291656       0.0373308
      12       0.0348679     0.000198223       0.0253718
      13       0.0211903     0.000138271       0.0176981
