13 -0.016051980840564403
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.498901         15.9084      0.0108586        1.38986        -793.994        0.42788         54.767      -0.0237106      0.0713896        9.13759
  accept        0.500488         15.8661      0.0108551        1.38941         -794.86       0.070823        9.06507        0.106025      0.0735383        9.41262
       1        0.510986         15.8528      0.0108277        1.38591        -795.053      0.0709284        9.07856       0.0578359      0.0717759        9.18703
   total        0.510986         15.8528      0.0108277        1.38591        -795.053      0.0709284        9.07856       0.0578359      0.0717759        9.18703

    mode      occupation             +/-         std dev
     -14       0.0146925     0.000101637       0.0130091
     -13       0.0228499     0.000144497       0.0184951
     -12       0.0376336     0.000209071       0.0267602
     -11       0.0650098     0.000305052       0.0390455
     -10        0.115918     0.000453659       0.0580666
      -9         0.21206     0.000672779        0.086113
      -8        0.392522      0.00102283        0.130918
      -7         0.72944       0.0015218        0.194784
      -6         1.34625      0.00228019        0.291855
      -5         2.44174      0.00333047        0.426287
      -4         4.28613      0.00478106        0.611957
      -3         7.16065      0.00655193        0.838622
      -2         10.8776      0.00855441         1.09493
      -1         14.3752       0.0101471         1.29879
       0         15.8528       0.0108277         1.38591
       1         14.3643        0.010184         1.30351
       2          10.858      0.00857696         1.09782
       3         7.15898       0.0065858        0.842956
       4         4.30696      0.00481954        0.616882
       5          2.4418      0.00332668        0.425802
       6         1.34381      0.00225701        0.288888
       7         0.73305      0.00152816        0.195598
       8        0.392984      0.00101038        0.129325
       9        0.213057     0.000676501       0.0865894
      10        0.116149     0.000448734       0.0574362
      11       0.0652587     0.000305629       0.0391193
      12       0.0377325     0.000205724       0.0263318
      13       0.0226693     0.000143998       0.0184311
      14       0.0148439     0.000102823        0.013161
