14 -0.016051980840564403
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.488708           15.78      0.0113952        1.45855        -792.024        0.60594        77.5579        0.108392       0.072642        9.29789
  accept        0.499939         15.8131      0.0106586        1.36425        -793.515      0.0730806        9.35403      -0.0783557      0.0721987        9.24116
       1        0.495667         15.7989      0.0108694        1.39124        -793.441      0.0743028        9.51047     -0.00495173       0.072676        9.30224
   total        0.495667         15.7989      0.0108694        1.39124        -793.441      0.0743028        9.51047     -0.00495173       0.072676        9.30224

    mode      occupation             +/-         std dev
     -15       0.0108861      8.0031e-05       0.0102437
     -14       0.0157081     0.000107313       0.0137356
     -13       0.0239051     0.000147456       0.0188738
     -12       0.0389799     0.000209485       0.0268133
     -11       0.0681132     0.000311465       0.0398663
     -10        0.120567     0.000459241       0.0587811
      -9        0.218109      0.00068596       0.0878002
      -8        0.403734      0.00102588        0.131309
      -7        0.744711      0.00153122         0.19599
      -6         1.36266       0.0022909        0.293226
      -5          2.4585      0.00337495         0.43198
      -4         4.32534      0.00484758        0.620471
      -3         7.15726      0.00660564        0.845496
      -2          10.857      0.00855506         1.09501
      -1         14.3081       0.0101113          1.2942
       0         15.7989       0.0108694         1.39124
       1         14.2937       0.0103209         1.32103
       2         10.8451      0.00855902         1.09552
       3          7.1512      0.00644073        0.824388
       4         4.32438      0.00480248        0.614699
       5         2.45959       0.0033634        0.430502
       6         1.36537      0.00232435        0.297508
       7        0.745454      0.00155546        0.199092
       8        0.403108      0.00104361        0.133578
       9        0.220131     0.000685618       0.0877564
      10        0.121637      0.00046334       0.0593057
      11       0.0676804     0.000306614       0.0392454
      12       0.0393303      0.00020991       0.0268676
      13       0.0239732     0.000147927        0.018934
      14       0.0157415     0.000108532       0.0138916
      15       0.0111311     8.12176e-05       0.0103955
