12 -0.016226458893179235
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.502625         15.8484      0.0112105         1.4349        -812.296       0.358528        45.8902       0.0793342      0.0719086        9.20402
  accept         0.49762         15.8776      0.0109042         1.3957        -813.238      0.0683675        8.75077         -0.1214      0.0715389         9.1567
       1        0.509216         15.8535      0.0108407        1.38757        -813.441      0.0686108        8.78191         0.12041      0.0721256        9.23179
   total        0.509216         15.8535      0.0108407        1.38757        -813.441      0.0686108        8.78191         0.12041      0.0721256        9.23179

    mode      occupation             +/-         std dev
     -13       0.0220534     0.000141347       0.0180918
     -12        0.036686     0.000202907       0.0259713
     -11       0.0637083     0.000297254       0.0380474
     -10        0.113906     0.000446848       0.0571948
      -9        0.212014     0.000669758       0.0857264
      -8        0.391734      0.00101113        0.129421
      -7        0.728847      0.00152517        0.195215
      -6         1.34723      0.00226747        0.290228
      -5         2.45284      0.00332191        0.425191
      -4         4.30197      0.00475739        0.608927
      -3         7.16411      0.00660508        0.845424
      -2         10.8636      0.00848505         1.08605
      -1         14.3547      0.00987516         1.26398
       0         15.8535       0.0108407         1.38757
       1         14.3616       0.0100373         1.28474
       2         10.8756      0.00835962            1.07
       3         7.18187      0.00661179        0.846283
       4         4.29949      0.00485645        0.621606
       5         2.44856      0.00334493        0.428138
       6         1.35078      0.00227319        0.290959
       7        0.733967      0.00152425        0.195099
       8        0.392462      0.00100833        0.129063
       9        0.211444     0.000671385       0.0859346
      10        0.114998     0.000447458       0.0572728
      11       0.0640471     0.000300974       0.0385235
      12       0.0363087     0.000203002       0.0259834
      13       0.0220101     0.000142215        0.018203
