13 -0.016226458893179235
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.500183         15.7269      0.0138326        1.77052        -811.824       0.462249         59.166       -0.160097      0.0731547        9.36351
  accept        0.495117         15.7341      0.0107153        1.37152        -813.142      0.0706561         9.0437        0.212177      0.0730679         9.3524
       1        0.497498         15.7101      0.0107053        1.37024        -812.979       0.070237        8.99006       -0.138268      0.0715191        9.15417
   total        0.497498         15.7101      0.0107053        1.37024        -812.979       0.070237        8.99006       -0.138268      0.0715191        9.15417

    mode      occupation             +/-         std dev
     -14       0.0153227      0.00010499       0.0134382
     -13       0.0237166     0.000147135       0.0188327
     -12       0.0392962     0.000213009       0.0272643
     -11       0.0679139     0.000306987       0.0392932
     -10        0.121917     0.000460136       0.0588956
      -9        0.222612     0.000683273       0.0874563
      -8        0.409466       0.0010262         0.13135
      -7        0.752143      0.00153375        0.196314
      -6         1.37412      0.00229512        0.293767
      -5         2.49522      0.00337876        0.432468
      -4           4.345      0.00477417        0.611076
      -3         7.20994        0.006611        0.846183
      -2         10.8305      0.00835018         1.06879
      -1         14.2667       0.0100516         1.28657
       0         15.7101       0.0107053         1.37024
       1         14.2685       0.0101026          1.2931
       2         10.7978      0.00839975         1.07514
       3         7.18438      0.00660031        0.844814
       4         4.34769      0.00481026        0.615694
       5         2.48058      0.00335939        0.429989
       6         1.38488      0.00231676        0.296537
       7        0.753226      0.00153402        0.196349
       8        0.407729      0.00102421        0.131095
       9        0.222119     0.000684132       0.0875663
      10        0.122304     0.000458859       0.0587322
      11       0.0682742     0.000313193       0.0400875
      12       0.0392776      0.00021275       0.0272312
      13       0.0238087     0.000147478       0.0188766
      14       0.0154585     0.000107326       0.0137373
