14 -0.016226458893179235
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.512512          15.637      0.0108314        1.38637        -809.741       0.680599        87.1141       -0.135267      0.0730875        9.35491
  accept        0.497375         15.6294      0.0106237         1.3598        -811.632      0.0739146        9.46078      -0.0394712      0.0714216        9.14169
       1         0.50116          15.652      0.0106195        1.35926        -811.599      0.0730321        9.34783       -0.175554      0.0729002        9.33094
   total         0.50116          15.652      0.0106195        1.35926        -811.599      0.0730321        9.34783       -0.175554      0.0729002        9.33094

    mode      occupation             +/-         std dev
     -15       0.0114273         8.4e-05       0.0107517
     -14       0.0164076     0.000110004       0.0140801
     -13       0.0252263     0.000153918       0.0197009
     -12       0.0415549      0.00022101       0.0282884
     -11       0.0712925     0.000323195       0.0413677
     -10        0.125725     0.000467728       0.0598673
      -9        0.230115     0.000705837       0.0903444
      -8        0.418374      0.00105105        0.134531
      -7        0.767983      0.00155534        0.199077
      -6         1.40274      0.00233447        0.298804
      -5         2.50746      0.00335957        0.430012
      -4         4.35184      0.00480364        0.614848
      -3         7.19378      0.00649858        0.831792
      -2         10.8148      0.00851839         1.09032
      -1          14.231      0.00984162         1.25969
       0          15.652       0.0106195         1.35926
       1         14.1989      0.00975368         1.24843
       2         10.7831      0.00838565         1.07333
       3         7.19204      0.00653358        0.836273
       4         4.36398        0.004766         0.61003
       5         2.50739      0.00336939        0.431269
       6         1.39139      0.00228688        0.292712
       7        0.765382      0.00154537        0.197802
       8        0.415949      0.00103959        0.133063
       9         0.22959     0.000695042       0.0889627
      10         0.12617     0.000470006       0.0601589
      11        0.069903     0.000315271       0.0403535
      12       0.0417832     0.000221816       0.0283916
      13       0.0253763     0.000154542       0.0197808
      14       0.0160931     0.000108059       0.0138311
      15       0.0112911     8.22963e-05       0.0105336
