12 -0.016400936945794066
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.499023         15.6629      0.0108212        1.38507        -830.254        0.54964        70.3518      0.00934331      0.0712614        9.12118
  accept        0.495178         15.6896      0.0104908        1.34279         -831.47      0.0677753        8.67497        0.162869      0.0720474        9.22178
       1        0.499817         15.7123      0.0106567        1.36402        -831.202      0.0677683        8.67408      -0.0920435      0.0719224        9.20578
   total        0.499817         15.7123      0.0106567        1.36402        -831.202      0.0677683        8.67408      -0.0920435      0.0719224        9.20578

    mode      occupation             +/-         std dev
     -13       0.0227861     0.000143012       0.0183049
     -12       0.0377291     0.000207603       0.0265724
     -11       0.0661402     0.000308684       0.0395104
     -10        0.118558     0.000451476       0.0577871
      -9        0.220101     0.000683792       0.0875227
      -8        0.406472      0.00102888        0.131693
      -7         0.75061      0.00153513        0.196491
      -6         1.38224       0.0022908        0.293214
      -5         2.49786      0.00336831        0.431131
      -4         4.36754      0.00476832        0.610326
      -3         7.19452      0.00656625        0.840454
      -2         10.8464      0.00843099         1.07913
      -1         14.2459      0.00994305         1.27267
       0         15.7123       0.0106567         1.36402
       1         14.2408      0.00990655           1.268
       2         10.8455      0.00841391         1.07695
       3         7.19246      0.00649501        0.831336
       4         4.35427      0.00477155         0.61074
       5         2.49542      0.00339205        0.434169
       6         1.37921       0.0023038        0.294877
       7        0.753456      0.00153697        0.196726
       8        0.405333      0.00101716        0.130193
       9        0.218146     0.000680223       0.0870659
      10        0.119296     0.000454553        0.058181
      11       0.0661092     0.000306116       0.0391817
      12       0.0379232      0.00020848       0.0266846
      13       0.0229452     0.000144956       0.0185538
