13 -0.016400936945794066
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init         0.50061         15.5527      0.0107385        1.37448        -830.013       0.513517        65.7282       -0.201182      0.0720547        9.22272
  accept        0.507751         15.5621      0.0105862        1.35499        -831.134      0.0710203        9.09033       -0.118979       0.072429        9.27063
       1        0.499573         15.5628      0.0107266        1.37296        -831.076      0.0704256        9.01421      -0.0900861      0.0716461        9.17042
   total        0.499573         15.5628      0.0107266        1.37296        -831.076      0.0704256        9.01421      -0.0900861      0.0716461        9.17042

    mode      occupation             +/-         std dev
     -14       0.0160361     0.000110959       0.0142023
     -13       0.0249384     0.000153675       0.0196699
     -12       0.0411772      0.00021806       0.0279108
     -11       0.0715723      0.00032199       0.0412134
     -10        0.126944     0.000472166       0.0604354
      -9        0.230315     0.000695204       0.0889834
      -8        0.423467      0.00105194        0.134645
      -7        0.775289      0.00155907        0.199554
      -6         1.41314      0.00231171         0.29589
      -5         2.53793      0.00336636        0.430881
      -4         4.39761      0.00475488        0.608606
      -3         7.21889      0.00647087        0.828246
      -2         10.8303      0.00833561         1.06693
      -1          14.128       0.0099081          1.2682
       0         15.5628       0.0107266         1.37296
       1         14.1419      0.00994296         1.27266
       2         10.8091      0.00832493         1.06556
       3         7.19345      0.00648047        0.829475
       4         4.39373      0.00478508        0.612472
       5         2.53197      0.00334566        0.428231
       6         1.41693      0.00232386        0.297445
       7        0.777326      0.00155751        0.199355
       8        0.424307      0.00105846        0.135478
       9        0.232188     0.000705991       0.0903641
      10        0.127532     0.000472483        0.060476
      11       0.0713407     0.000318289       0.0407397
      12        0.041084     0.000216624       0.0277271
      13         0.02492     0.000152491       0.0195182
      14       0.0158589     0.000109571       0.0140247
