14 -0.016400936945794066
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.504089         15.4786      0.0108297        1.38616        -829.033       0.411427        52.6611      -0.0420916      0.0723204        9.25673
  accept        0.502869         15.5021      0.0104662        1.33963        -829.958      0.0731986        9.36913       -0.194189      0.0727468        9.31131
       1        0.500916            15.5      0.0104657        1.33957        -830.154      0.0733693        9.39099        0.170038      0.0723638        9.26228
   total        0.500916            15.5      0.0104657        1.33957        -830.154      0.0733693        9.39099        0.170038      0.0723638        9.26228

    mode      occupation             +/-         std dev
     -15       0.0114515     8.22779e-05       0.0105312
     -14       0.0168189      0.00011396       0.0145864
     -13       0.0265218     0.000158249       0.0202553
     -12       0.0432314     0.000226222       0.0289555
     -11       0.0741529     0.000320992       0.0410857
     -10        0.131896     0.000477642       0.0611363
      -9        0.239055     0.000708491       0.0906841
      -8        0.436266       0.0010656        0.136393
      -7         0.79139      0.00157752        0.201917
      -6         1.43799      0.00233324        0.298646
      -5         2.56586      0.00339295        0.434284
      -4         4.41188       0.0047727        0.610887
      -3         7.20634      0.00647182        0.828367
      -2         10.7627      0.00824309         1.05508
      -1         14.0639      0.00997737         1.27706
       0            15.5       0.0104657         1.33957
       1         14.0558      0.00987587         1.26407
       2         10.8023      0.00835221         1.06905
       3          7.2268      0.00646248        0.827172
       4         4.43325      0.00475163         0.60819
       5         2.55271      0.00340824        0.436241
       6          1.4358      0.00233777        0.299226
       7        0.793467      0.00155781        0.199394
       8         0.43486      0.00104993        0.134387
       9        0.239323     0.000711939       0.0911254
      10        0.132793     0.000482116        0.061709
      11       0.0749622     0.000327429       0.0419096
      12       0.0438951      0.00022521       0.0288259
      13       0.0262347     0.000155528        0.019907
      14       0.0169198      0.00011416       0.0146121
      15       0.0115652     8.39865e-05       0.0107499
