12 -0.016575414998408897
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.501343         15.5307      0.0104801        1.34141         -848.74       0.310715        39.7703        -0.17909      0.0719034        9.20335
  accept        0.500977         15.5619      0.0105864        1.35502         -849.36      0.0687526        8.80006       0.0161556      0.0707954        9.06154
       1        0.497314         15.5822       0.010473        1.34051        -849.378      0.0687927         8.8052     -0.00968254      0.0720761        9.22546
   total        0.497314         15.5822       0.010473        1.34051        -849.378      0.0687927         8.8052     -0.00968254      0.0720761        9.22546

    mode      occupation             +/-         std dev
     -13       0.0237082     0.000148871       0.0190548
     -12       0.0394138     0.000213805       0.0273662
     -11       0.0693714     0.000312253       0.0399671
     -10        0.124241     0.000468321       0.0599433
      -9        0.226954     0.000680936       0.0871571
      -8        0.416812      0.00103882        0.132964
      -7        0.770706      0.00154313        0.197514
      -6         1.40966      0.00229785        0.294115
      -5         2.53637      0.00336177        0.430293
      -4         4.41467        0.004786        0.612589
      -3         7.21316      0.00647813        0.829175
      -2         10.8219      0.00833111         1.06635
      -1         14.1512       0.0099446         1.27287
       0         15.5822        0.010473         1.34051
       1         14.1646      0.00979779         1.25408
       2         10.7749      0.00829879         1.06221
       3          7.2374      0.00651803        0.834283
       4         4.39757       0.0048038        0.614867
       5          2.5315      0.00337908        0.432509
       6         1.41736       0.0022972        0.294033
       7        0.770434      0.00153674        0.196697
       8        0.419724      0.00104317        0.133522
       9        0.228228     0.000687991       0.0880602
      10        0.125033     0.000463967        0.059386
      11       0.0693786     0.000314751       0.0402869
      12       0.0395748     0.000213007       0.0272641
      13       0.0238523     0.000147776       0.0189147
