13 -0.016575414998408897
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.498291         15.3719      0.0109557        1.40229         -848.29       0.538081        68.8723       -0.102437      0.0716654         9.1729
  accept        0.496521         15.3855      0.0103628         1.3264        -849.708      0.0709614        9.08279      -0.0305992      0.0726298        9.29633
       1        0.498108         15.3842      0.0103711        1.32747        -849.419      0.0704299        9.01475       -0.134592      0.0718692        9.19898
   total        0.498108         15.3842      0.0103711        1.32747        -849.419      0.0704299        9.01475       -0.134592      0.0718692        9.19898

    mode      occupation             +/-         std dev
     -14       0.0167889     0.000112304       0.0143745
     -13       0.0258865     0.000156441       0.0200238
     -12       0.0427465     0.000220838       0.0282664
     -11        0.074686     0.000325017       0.0416009
     -10        0.132801     0.000481857       0.0616758
      -9        0.241362     0.000716602       0.0917223
      -8        0.438284      0.00105561        0.135114
      -7        0.801048      0.00159195        0.203764
      -6         1.44985       0.0023406        0.299587
      -5         2.57374      0.00338498        0.433264
      -4          4.4422      0.00481042        0.615715
      -3         7.25019      0.00653249        0.836133
      -2         10.7805      0.00825682         1.05684
      -1         14.0615      0.00974866         1.24779
       0         15.3842       0.0103711         1.32747
       1         14.0426      0.00982909         1.25808
       2         10.7848      0.00837383         1.07182
       3          7.2285      0.00648763        0.830391
       4         4.43319      0.00471918        0.604037
       5         2.57774      0.00339604         0.43468
       6         1.44677      0.00233788        0.299239
       7        0.800784      0.00157721        0.201877
       8        0.437384      0.00107208        0.137222
       9        0.239737     0.000705015       0.0902392
      10        0.132323     0.000480525       0.0615053
      11       0.0744332     0.000324195       0.0414957
      12       0.0433008     0.000223148       0.0285621
      13       0.0260782     0.000156277       0.0200028
      14       0.0165964     0.000112959       0.0144584
