14 -0.016575414998408897
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.497192         15.2878      0.0103694        1.32724        -847.113       0.619489        79.2921       -0.237217      0.0734681        9.40363
    init        0.503113         15.3076      0.0102237         1.3086        -848.451      0.0735784        9.41775        0.107049      0.0726945        9.30461
       1        0.496277         15.3305      0.0101246        1.29591         -848.61      0.0737761        9.44305        0.220275       0.071538        9.15658
   total        0.496277         15.3305      0.0101246        1.29591         -848.61      0.0737761        9.44305        0.220275       0.071538        9.15658

    mode      occupation             +/-         std dev
     -15       0.0120192     8.61735e-05       0.0110299
     -14        0.017532     0.000116916       0.0149648
     -13       0.0272692     0.000159124       0.0203672
     -12       0.0454234     0.000231522       0.0296339
     -11       0.0786262     0.000336444       0.0430635
     -10        0.139526     0.000497182       0.0636373
      -9        0.250658     0.000724822       0.0927744
      -8        0.451955      0.00106513        0.136333
      -7        0.819753      0.00158067         0.20232
      -6         1.46944       0.0023665        0.302903
      -5         2.60283      0.00342052        0.437813
      -4         4.46283      0.00480219        0.614662
      -3         7.21795      0.00638765        0.817594
      -2         10.7443      0.00831148         1.06384
      -1         13.9624      0.00983832         1.25927
       0         15.3305       0.0101246         1.29591
       1         13.9743      0.00975838         1.24903
       2         10.7477      0.00834073         1.06758
       3         7.23809      0.00642846        0.822817
       4         4.47773       0.0048395        0.619437
       5         2.60999      0.00339545        0.434605
       6         1.47389      0.00233571        0.298961
       7        0.821972      0.00159976        0.204763
       8        0.453457      0.00107702        0.137854
       9          0.2499     0.000728698       0.0932705
      10        0.138561      0.00049026       0.0627514
      11       0.0784442     0.000337005       0.0431354
      12       0.0457074     0.000232309       0.0297346
      13       0.0275602     0.000163205       0.0208896
      14       0.0175724     0.000114746       0.0146871
      15       0.0121685     8.79007e-05       0.0112509
