12 -0.01674989305102373
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.499329         15.4029      0.0105972        1.35639         -866.06       0.635738        81.3719     -0.00403458      0.0729435        9.33649
  accept        0.498596         15.4039      0.0102415        1.31088        -867.766      0.0675689        8.64855      -0.0791943       0.071977        9.21278
       1        0.499756          15.441      0.0103569        1.32564        -867.605      0.0681204        8.71915        0.212063      0.0729629        9.33896
   total        0.499756          15.441      0.0103569        1.32564        -867.605      0.0681204        8.71915        0.212063      0.0729629        9.33896

    mode      occupation             +/-         std dev
     -13       0.0250035     0.000153131       0.0196002
     -12       0.0412051      0.00021896        0.028026
     -11       0.0720659     0.000320578       0.0410327
     -10         0.13024     0.000475399       0.0608492
      -9        0.236128     0.000700514        0.089663
      -8        0.435159      0.00105835        0.135464
      -7         0.79835      0.00156538        0.200363
      -6         1.45247      0.00232364        0.297417
      -5         2.57291      0.00334247        0.427823
      -4         4.45696      0.00472029        0.604178
      -3         7.22667      0.00645251        0.825896
      -2         10.7578       0.0082151          1.0515
      -1         14.0393      0.00961528         1.23072
       0          15.441       0.0103569         1.32564
       1         14.0351      0.00974065         1.24677
       2         10.7949      0.00827963         1.05976
       3         7.24637      0.00642627        0.822538
       4         4.46001      0.00476084        0.609369
       5         2.58864      0.00339211        0.434177
       6         1.45278      0.00233879        0.299356
       7         0.79707      0.00157568         0.20168
       8        0.434954      0.00104254        0.133441
       9        0.236942     0.000704102       0.0901223
      10        0.129775     0.000474414       0.0607232
      11       0.0717801     0.000318127        0.040719
      12       0.0414821     0.000219866        0.028142
      13       0.0248425     0.000152072       0.0194646
