13 -0.01674989305102373
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.502502         15.2463      0.0103444        1.32405        -867.083       0.546606        69.9635       -0.179859      0.0724664        9.27542
  accept        0.493347         15.2883      0.0101849        1.30362        -868.146      0.0703529        9.00489        0.237947      0.0713646        9.13439
  accept        0.499084         15.2687      0.0102466        1.31153        -868.004      0.0704184        9.01328        0.109468       0.071978         9.2129
       1        0.495361         15.2622      0.0102406        1.31076        -868.103      0.0701841        8.98329     -0.00977639      0.0712175        9.11556
   total        0.495361         15.2622      0.0102406        1.31076        -868.103      0.0701841        8.98329     -0.00977639      0.0712175        9.11556

    mode      occupation             +/-         std dev
     -14       0.0171136     0.000113938       0.0145836
     -13       0.0271387     0.000159656       0.0204353
     -12       0.0444423     0.000225542       0.0288685
     -11        0.077709     0.000334965       0.0428742
     -10        0.138153     0.000490286       0.0627546
      -9        0.249615     0.000729617       0.0933882
      -8        0.455506      0.00107802        0.137982
      -7        0.826128       0.0015901        0.203527
      -6         1.48644      0.00232771        0.297937
      -5         2.62109      0.00337767        0.432328
      -4         4.47571      0.00476585        0.610011
      -3         7.26886      0.00641882        0.821583
      -2          10.735      0.00814447         1.04246
      -1         13.9566      0.00974813         1.24772
       0         15.2622       0.0102406         1.31076
       1         13.9241      0.00970204         1.24182
       2         10.7425      0.00821268         1.05119
       3          7.2531      0.00639816         0.81894
       4         4.50286      0.00474361        0.607163
       5         2.62211      0.00342197        0.437999
       6          1.4825      0.00233947        0.299443
       7        0.823805      0.00158903         0.20339
       8        0.453043      0.00108453        0.138815
       9         0.25007     0.000730919       0.0935548
      10        0.138151     0.000486822       0.0623113
      11        0.077639     0.000333205       0.0426489
      12       0.0445723     0.000226324       0.0289685
      13       0.0268397     0.000156028        0.019971
      14       0.0170987     0.000114596       0.0146678
