14 -0.01674989305102373
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.494446         15.1558      0.0104406        1.33636        -866.386       0.370511         47.424      -0.0271112      0.0726213        9.29524
  accept        0.492615         15.1755       0.010126        1.29609        -867.149      0.0743132        9.51181         -0.1629      0.0734493        9.40122
       1        0.503174         15.1772      0.0103964         1.3307        -867.341      0.0728436        9.32369       0.0937321       0.071918        9.20522
   total        0.503174         15.1772      0.0103964         1.3307        -867.341      0.0728436        9.32369       0.0937321       0.071918        9.20522

    mode      occupation             +/-         std dev
     -15        0.012308     8.79177e-05       0.0112531
     -14       0.0182327     0.000119257       0.0152645
     -13       0.0288896     0.000165433       0.0211747
     -12       0.0476346     0.000236637       0.0302886
     -11       0.0828302     0.000342265       0.0438085
     -10        0.144758     0.000500345       0.0640422
      -9        0.260156     0.000736168       0.0942266
      -8        0.469081      0.00109642        0.140337
      -7        0.840329      0.00160426        0.205338
      -6         1.51527      0.00236746        0.303025
      -5         2.65296      0.00343219        0.439308
      -4         4.51993      0.00481282        0.616022
      -3         7.25455      0.00642716        0.822652
      -2         10.6993      0.00803224          1.0281
      -1          13.839       0.0096746         1.23831
       0         15.1772       0.0103964          1.3307
       1         13.8737      0.00939795          1.2029
       2         10.7024      0.00814478          1.0425
       3         7.27674      0.00632478        0.809547
       4          4.5096      0.00471679        0.603731
       5         2.64921      0.00340294        0.435564
       6         1.51469      0.00236837        0.303142
       7        0.848173      0.00163664        0.209484
       8        0.468556      0.00109233        0.139814
       9        0.260486     0.000742342       0.0950168
      10        0.144327     0.000498514       0.0638078
      11       0.0824284     0.000341691       0.0437351
      12       0.0475824      0.00023551       0.0301444
      13       0.0289131     0.000165806       0.0212225
      14       0.0183318     0.000119284       0.0152679
      15       0.0125612     8.89227e-05       0.0113818
