12 -0.016924371103638557
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.503723         15.2465      0.0101532        1.29957        -885.441       0.441753        56.5426       0.0125561      0.0718764        9.19989
       1        0.502808         15.3071       0.010256        1.31273        -886.021       0.068476        8.76466      -0.0207701      0.0719187        9.20531
   total        0.502808         15.3071       0.010256        1.31273        -886.021       0.068476        8.76466      -0.0207701      0.0719187        9.20531

    mode      occupation             +/-         std dev
     -13       0.0257648     0.000154193       0.0197361
     -12       0.0429233     0.000220888       0.0282728
     -11       0.0754217     0.000329708       0.0422013
     -10        0.135495     0.000486655       0.0622899
      -9        0.246867     0.000726935       0.0930449
      -8        0.450071      0.00106777         0.13667
      -7        0.818152      0.00158038        0.202282
      -6         1.48025      0.00234211        0.299781
      -5         2.63305       0.0033513        0.428953
      -4          4.4951      0.00479879        0.614227
      -3         7.26418      0.00642623        0.822532
      -2         10.7572      0.00806645         1.03247
      -1          13.932      0.00960808          1.2298
       0         15.3071        0.010256         1.31273
       1          13.912      0.00961405         1.23056
       2         10.7414      0.00817765         1.04671
       3         7.29273      0.00642437        0.822295
       4         4.48083      0.00471094        0.602982
       5         2.63376      0.00337795        0.432364
       6         1.48177       0.0023336        0.298692
       7        0.819318      0.00159109        0.203653
       8        0.450384      0.00107352        0.137407
       9        0.244931     0.000712539       0.0912022
      10         0.13601     0.000487098       0.0623466
      11       0.0750769     0.000321031       0.0410907
      12       0.0429177     0.000223444       0.0285999
      13       0.0253817     0.000152055       0.0194624
