13 -0.016924371103638557
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.506592         15.1094      0.0102934        1.31751        -885.721       0.467072        59.7834      -0.0686919      0.0714938        9.15092
  accept        0.493713         15.1714      0.0100176        1.28221        -886.712      0.0714201        9.14149      -0.0692752      0.0718769        9.19997
       1        0.494568         15.1509       0.010157        1.30005        -886.763      0.0705445        9.02942       -0.164488      0.0728831        9.32875
   total        0.494568         15.1509       0.010157        1.30005        -886.763      0.0705445        9.02942       -0.164488      0.0728831        9.32875

    mode      occupation             +/-         std dev
     -14       0.0177208     0.000117263       0.0150092
     -13       0.0285256     0.000165245       0.0211508
     -12       0.0467535     0.000236973       0.0303316
     -11       0.0810979     0.000339249       0.0434225
     -10        0.144425      0.00050065       0.0640813
      -9        0.258053     0.000734518       0.0940154
      -8        0.468182      0.00109719        0.140436
      -7         0.84597      0.00162671        0.208213
      -6         1.51559      0.00233395        0.298737
      -5         2.67762      0.00342099        0.437874
      -4         4.53013      0.00478198        0.612075
      -3         7.27682      0.00649816        0.831739
      -2         10.7153      0.00813461          1.0412
      -1         13.8399      0.00955097         1.22249
       0         15.1509        0.010157         1.30005
       1         13.8262      0.00943214         1.20728
       2         10.7151      0.00814776         1.04288
       3         7.27653      0.00645502        0.826218
       4         4.52132      0.00471269        0.603206
       5         2.66656      0.00334204        0.427768
       6         1.50836      0.00234052        0.299577
       7        0.845455      0.00160622        0.205589
       8        0.467581      0.00110215        0.141071
       9        0.258199     0.000736856       0.0943146
      10        0.143623     0.000495231       0.0633877
      11       0.0811721     0.000339892       0.0435049
      12       0.0467909     0.000233656        0.029907
      13       0.0281174      0.00016444       0.0210476
      14       0.0179664     0.000118035       0.0151081
