14 -0.016924371103638557
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.492615         15.0225      0.0100005        1.28003        -885.421       0.320222        40.9872      0.00761156      0.0725583        9.28718
  accept        0.496887         15.0344      0.0100017        1.28018        -886.229      0.0736073        9.42145       0.0396505      0.0718056        9.19084
       1        0.500244         15.0523       0.010066         1.2884        -886.087       0.073434        9.39927       0.0632606      0.0707759        9.05903
   total        0.500244         15.0523       0.010066         1.2884        -886.087       0.073434        9.39927       0.0632606      0.0707759        9.05903

    mode      occupation             +/-         std dev
     -15       0.0128578       8.954e-05       0.0114608
     -14       0.0187584      0.00011971       0.0153225
     -13       0.0299093     0.000169909       0.0217476
     -12       0.0500446     0.000244938       0.0313511
     -11        0.086043     0.000352931       0.0451737
     -10        0.151772     0.000513847       0.0657705
      -9        0.271081     0.000765295       0.0979548
      -8        0.484093      0.00110611        0.141578
      -7        0.865468       0.0016397        0.209875
      -6          1.5469      0.00236658        0.302913
      -5         2.69087      0.00336614        0.430852
      -4         4.57074      0.00477377        0.611023
      -3         7.28267       0.0063272        0.809856
      -2         10.6636      0.00803465          1.0284
      -1         13.7272      0.00936151         1.19824
       0         15.0523        0.010066          1.2884
       1         13.7476      0.00951051         1.21731
       2         10.6788      0.00809446         1.03606
       3         7.30052      0.00630694        0.807264
       4         4.55924      0.00482844        0.618022
       5         2.69636      0.00341817        0.437513
       6         1.54435      0.00235997        0.302067
       7        0.864226      0.00160167        0.205007
       8        0.485757       0.0011052        0.141462
       9        0.268933      0.00075091       0.0961135
      10        0.151602     0.000509985        0.065276
      11       0.0864359     0.000353639       0.0452644
      12       0.0501145      0.00024383       0.0312093
      13       0.0299566     0.000170194       0.0217841
      14       0.0190964     0.000121931       0.0156067
      15       0.0127699     8.96449e-05       0.0114742
