12 -0.017098849156253388
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init         0.49939         15.0951      0.0112321        1.43767         -903.58       0.355129        45.4551      -0.0415363      0.0724913        9.27861
  accept        0.496826         15.1559      0.0100441         1.2856        -904.464      0.0686416        8.78586     -0.00243372      0.0715914        9.16342
       1        0.502869         15.1436      0.0102372        1.31032        -904.651      0.0684822        8.76546       -0.101751        0.07103        9.09156
   total        0.502869         15.1436      0.0102372        1.31032        -904.651      0.0684822        8.76546       -0.101751        0.07103        9.09156

    mode      occupation             +/-         std dev
     -13       0.0268406     0.000158998       0.0203512
     -12       0.0449689     0.000229174       0.0293334
     -11       0.0781745     0.000335861       0.0429889
     -10        0.140346     0.000489386       0.0626395
      -9        0.254985     0.000735244       0.0941083
      -8        0.464291      0.00108058         0.13831
      -7         0.84621      0.00160737        0.205737
      -6         1.51933       0.0023439         0.30001
      -5         2.66645      0.00335645        0.429612
      -4         4.55275      0.00476054         0.60933
      -3         7.29929      0.00642879         0.82286
      -2         10.7226      0.00804379         1.02957
      -1         13.8338      0.00947502         1.21277
       0         15.1436       0.0102372         1.31032
       1         13.7954      0.00949387         1.21518
       2         10.7383      0.00803914         1.02898
       3         7.29509      0.00632426        0.809481
       4         4.54305      0.00476425        0.609805
       5         2.66404       0.0033691        0.431232
       6          1.5185      0.00237747        0.304306
       7         0.84278      0.00161064        0.206156
       8        0.463242      0.00107446        0.137526
       9        0.255333     0.000732526       0.0937605
      10        0.140799      0.00049388       0.0632147
      11       0.0780954     0.000330739       0.0423333
      12       0.0452215     0.000227808       0.0291586
      13       0.0265609     0.000158006       0.0202242
