13 -0.017098849156253388
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.502625         15.0015       0.010082        1.29045        -904.601       0.458483        58.6841       0.0382985      0.0731861        9.36754
  accept        0.505493         15.0036      0.0101302        1.29663         -905.52      0.0705964        9.03606      -0.0943588      0.0724284        9.27056
       1        0.504456         14.9708     0.00987285        1.26369         -905.72       0.069987        8.95807       -0.141019      0.0724159        9.26895
   total        0.504456         14.9708     0.00987285        1.26369         -905.72       0.069987        8.95807       -0.141019      0.0724159        9.26895

    mode      occupation             +/-         std dev
     -14       0.0182074     0.000119013       0.0152332
     -13       0.0293283     0.000169189       0.0216555
     -12       0.0489579     0.000240148        0.030738
     -11       0.0843517     0.000342294       0.0438124
     -10         0.14989     0.000507071       0.0649032
      -9        0.270113     0.000741236       0.0948753
      -8        0.484131      0.00109236        0.139817
      -7        0.870662      0.00164756        0.210881
      -6         1.54632       0.0023409        0.299626
      -5         2.70749      0.00340405        0.435706
      -4           4.584      0.00476996        0.610537
      -3          7.3191      0.00628257        0.804144
      -2         10.7119      0.00812016         1.03935
      -1          13.737      0.00932786         1.19393
       0         14.9708      0.00987285         1.26369
       1         13.7029      0.00935562         1.19748
       2         10.6663      0.00797794         1.02114
       3         7.29958      0.00639844        0.818975
       4           4.578       0.0046897        0.600263
       5         2.71284      0.00341915        0.437638
       6         1.55166      0.00236433        0.302625
       7        0.870274      0.00161379        0.206559
       8        0.487202      0.00111438        0.142637
       9        0.267799     0.000738516       0.0945272
      10         0.15007     0.000506649       0.0648491
      11         0.08465      0.00034873        0.044636
      12       0.0487768     0.000242549       0.0310453
      13        0.029295     0.000167029       0.0213791
      14       0.0185324     0.000120007       0.0153604
