14 -0.017098849156253388
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.507874         14.8632     0.00992707        1.27063        -904.047       0.506624        64.8459       -0.188372      0.0723784        9.26415
  accept        0.496887         14.9134     0.00991354        1.26889        -905.133       0.073428         9.3985      -0.0385608      0.0724822        9.27744
       1        0.494019         14.9001     0.00996063        1.27492        -905.156      0.0740753        9.48135       0.0190205      0.0725114        9.28117
   total        0.494019         14.9001     0.00996063        1.27492        -905.156      0.0740753        9.48135       0.0190205      0.0725114        9.28117

    mode      occupation             +/-         std dev
     -15       0.0132111     9.13026e-05       0.0116864
     -14        0.019707     0.000123704       0.0158336
     -13       0.0312715     0.000173443          0.0222
     -12       0.0523725     0.000250501       0.0320632
     -11       0.0890444      0.00035756       0.0457663
     -10        0.157833     0.000526047        0.067332
      -9        0.279663     0.000764872       0.0979007
      -8        0.501721       0.0011265        0.144187
      -7        0.894049      0.00163559        0.209349
      -6         1.57896      0.00240277        0.307545
      -5         2.73826      0.00343656        0.439866
      -4         4.59337      0.00476205        0.609524
      -3         7.31932      0.00630719        0.807296
      -2         10.6386       0.0079876         1.02238
      -1         13.6254      0.00936511          1.1987
       0         14.9001      0.00996063         1.27492
       1         13.6546      0.00937445         1.19989
       2         10.6421      0.00800412          1.0245
       3         7.31829      0.00630296        0.806755
       4         4.60496       0.0047876        0.612794
       5          2.7376      0.00342864        0.438852
       6         1.57444      0.00237386        0.303845
       7        0.891889      0.00164958         0.21114
       8        0.499667      0.00112735        0.144296
       9        0.280889     0.000765512       0.0979826
      10        0.157224     0.000522673       0.0669001
      11       0.0891079     0.000355088       0.0454499
      12       0.0520854      0.00024826       0.0317763
      13       0.0313227     0.000175012       0.0224008
      14        0.019769     0.000124969       0.0159955
      15       0.0130744     9.06821e-05        0.011607
