12 -0.01727332720886822
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init         0.50531         15.0271      0.0101145        1.29462        -921.947       0.509192        65.1746       -0.165063       0.072194        9.24055
  accept        0.501099         15.0064     0.00990295        1.26754        -923.433      0.0685151        8.76967        0.149716      0.0718273        9.19361
       1         0.50238         15.0103     0.00984202        1.25974        -923.337      0.0682876        8.74054      -0.0608621      0.0719049        9.20355
   total         0.50238         15.0103     0.00984202        1.25974        -923.337      0.0682876        8.74054      -0.0608621      0.0719049        9.20355

    mode      occupation             +/-         std dev
     -13       0.0274825     0.000161466        0.020667
     -12       0.0469353     0.000234082       0.0299615
     -11       0.0817376     0.000339839       0.0434981
     -10        0.145244     0.000497143       0.0636323
      -9        0.263424     0.000745068       0.0953658
      -8         0.47816      0.00108759        0.139207
      -7        0.865298      0.00161263        0.206411
      -6         1.54849      0.00236774        0.303062
      -5         2.70626      0.00338713        0.433539
      -4         4.57528      0.00477073        0.610635
      -3         7.33594      0.00634352        0.811945
      -2         10.6727       0.0079508         1.01767
      -1         13.7668      0.00940353         1.20362
       0         15.0103      0.00984202         1.25974
       1         13.7436      0.00925008         1.18397
       2         10.6653      0.00789521         1.01056
       3         7.32559      0.00637532        0.816016
       4         4.58099      0.00473349        0.605868
       5         2.70702      0.00341018         0.43649
       6         1.54254       0.0023741        0.303875
       7        0.867821      0.00162267        0.207695
       8        0.478368       0.0010939        0.140015
       9        0.262649     0.000734533       0.0940174
      10        0.146237     0.000504065       0.0645184
      11       0.0820678     0.000339458       0.0434493
      12       0.0462086     0.000231113       0.0295815
      13       0.0274897     0.000159934       0.0204709
