13 -0.01727332720886822
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init         0.49823         14.8589     0.00983113        1.25835        -923.854       0.401614        51.4051       -0.237929        0.07197        9.21188
    init        0.509094         14.8307     0.00979414        1.25361        -924.632      0.0710006         9.0878        0.169688      0.0721292        9.23226
       1        0.501038         14.8977     0.00988928        1.26579        -924.538        0.07135        9.13252        0.147553      0.0711288        9.10421
   total        0.501038         14.8977     0.00988928        1.26579        -924.538        0.07135        9.13252        0.147553      0.0711288        9.10421

    mode      occupation             +/-         std dev
     -14       0.0189576     0.000121139       0.0155054
     -13       0.0302461      0.00017169       0.0219756
     -12       0.0505122     0.000243931       0.0312222
     -11       0.0883331     0.000351105       0.0449401
     -10        0.156157     0.000522446        0.066871
      -9        0.277407     0.000751292       0.0961624
      -8           0.499      0.00111898        0.143225
      -7        0.890442      0.00165187        0.211433
      -6         1.57963       0.0023651        0.302723
      -5         2.75111      0.00341102        0.436598
      -4         4.59849      0.00468405         0.59954
      -3         7.33897      0.00629408        0.805618
      -2         10.6337      0.00790641         1.01199
      -1         13.6146      0.00937679         1.20019
       0         14.8977      0.00988928         1.26579
       1         13.6321      0.00922026         1.18016
       2         10.6367      0.00797889         1.02127
       3         7.34517        0.006333        0.810599
       4         4.61261      0.00472252        0.604464
       5         2.74862       0.0034249        0.438374
       6         1.58523      0.00239054         0.30598
       7        0.892817      0.00164525        0.210586
       8        0.498672      0.00111643        0.142898
       9        0.277571     0.000755202       0.0966629
      10        0.156384     0.000522987       0.0669402
      11       0.0883737     0.000358824        0.045928
      12       0.0511625     0.000247624       0.0316949
      13        0.030321     0.000169623       0.0217111
      14       0.0190117     0.000120708       0.0154502
