14 -0.01727332720886822
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.500854          14.789     0.00974455        1.24726        -923.157        0.47635        60.9709       0.0292443       0.071794        9.18936
  accept         0.50824         14.7449     0.00948635        1.21422        -924.513      0.0717741         9.1868       0.0236457       0.071667         9.1731
       1        0.499939         14.7576     0.00987434        1.26388         -924.38      0.0737148         9.4352       0.0793763      0.0728258        9.32142
   total        0.499939         14.7576     0.00987434        1.26388         -924.38      0.0737148         9.4352       0.0793763      0.0728258        9.32142

    mode      occupation             +/-         std dev
     -15        0.013728     9.43238e-05       0.0120731
     -14        0.020526     0.000127575       0.0163292
     -13       0.0327117     0.000181191       0.0231917
     -12       0.0545342     0.000255712       0.0327301
     -11       0.0937573     0.000367085       0.0469855
     -10        0.164281     0.000532275       0.0681292
      -9        0.289989     0.000774139       0.0990867
      -8        0.516146      0.00113744        0.145588
      -7        0.909914      0.00164641        0.210734
      -6         1.61214      0.00239313        0.306312
      -5         2.77082      0.00339872        0.435022
      -4          4.6454      0.00470767        0.602564
      -3         7.34173      0.00622684        0.797011
      -2         10.5971      0.00791196          1.0127
      -1         13.5719      0.00926004         1.18525
       0         14.7576      0.00987434         1.26388
       1         13.5336      0.00930524         1.19103
       2         10.5852      0.00787764         1.00831
       3         7.33899      0.00627833        0.803602
       4         4.65029      0.00473266        0.605763
       5         2.78167       0.0033954        0.434598
       6         1.60954      0.00239225        0.306198
       7        0.920537      0.00166938        0.213674
       8         0.51752      0.00114852        0.147006
       9        0.291268     0.000777271       0.0994876
      10         0.16357     0.000531927       0.0680846
      11        0.094203     0.000373182       0.0477658
      12       0.0546867     0.000256575       0.0328406
      13       0.0326225      0.00018018       0.0230623
      14       0.0203606     0.000126106       0.0161411
      15       0.0136315      9.1462e-05       0.0117068
