12 -0.017447805261483047
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.503967         14.8539     0.00985712        1.26167        -941.476       0.331367        42.4137      -0.0739518      0.0720796         9.2259
  accept        0.499207         14.8762     0.00986079        1.26214        -942.168      0.0677365        8.67001      -0.0445483      0.0716965        9.17687
       1        0.498169         14.8692     0.00976217        1.24952        -942.086      0.0678569        8.68541       0.0898423      0.0715711        9.16083
   total        0.498169         14.8692     0.00976217        1.24952        -942.086      0.0678569        8.68541       0.0898423      0.0715711        9.16083

    mode      occupation             +/-         std dev
     -13       0.0288272     0.000165734       0.0212133
     -12       0.0484389     0.000238037       0.0304678
     -11       0.0842721     0.000346974       0.0444113
     -10        0.151057     0.000507167       0.0649153
      -9        0.273179     0.000745939       0.0954773
      -8        0.492983      0.00110593        0.141554
      -7         0.88897      0.00163244        0.208946
      -6         1.57863      0.00236623        0.302868
      -5         2.74292      0.00333945        0.427436
      -4         4.62698      0.00471232        0.603158
      -3         7.31879      0.00629921        0.806275
      -2         10.6597      0.00800364         1.02443
      -1         13.6524      0.00920063         1.17764
       0         14.8692      0.00976217         1.24952
       1         13.6452      0.00934865         1.19659
       2         10.6929      0.00790911         1.01234
       3         7.33228      0.00630998        0.807653
       4         4.62181      0.00476706        0.610165
       5         2.74934      0.00339005        0.433913
       6         1.57555      0.00237868        0.304462
       7        0.886526      0.00161879        0.207199
       8          0.4925      0.00110437        0.141356
       9        0.273677     0.000754932       0.0966283
      10         0.15158     0.000508597       0.0650985
      11       0.0849661     0.000345797       0.0442607
      12       0.0488722     0.000239122       0.0306066
      13       0.0284975     0.000164845       0.0210995
