13 -0.017447805261483047
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.494324         14.7815      0.0110919        1.41972        -942.422       0.534421        68.4037       0.0218028      0.0721523        9.23522
  accept        0.500122         14.7601     0.00977158        1.25072        -943.781      0.0713335         9.1304       -0.135027      0.0725583        9.28718
       1        0.500549         14.7401     0.00962216         1.2316        -943.766      0.0708331        9.06635        0.112068       0.072442        9.27229
   total        0.500549         14.7401     0.00962216         1.2316        -943.766      0.0708331        9.06635        0.112068       0.072442        9.27229

    mode      occupation             +/-         std dev
     -14       0.0196927     0.000123875       0.0158556
     -13       0.0316235     0.000173738       0.0222378
     -12       0.0531885     0.000249906        0.031987
     -11       0.0918744      0.00036243       0.0463897
     -10         0.16216     0.000527457       0.0675124
      -9        0.289999      0.00077058       0.0986313
      -8         0.51683      0.00113365        0.145103
      -7        0.912712      0.00163233        0.208932
      -6         1.61604      0.00239812         0.30695
      -5         2.79704      0.00343345        0.439468
      -4         4.65825      0.00475778        0.608977
      -3         7.35026      0.00625022        0.800003
      -2         10.5902      0.00787596         1.00809
      -1         13.5092      0.00930526         1.19104
       0         14.7401      0.00962216          1.2316
       1         13.5625      0.00922438         1.18069
       2         10.5928      0.00785138         1.00495
       3         7.33991      0.00626958        0.802482
       4         4.66381      0.00471232        0.603159
       5         2.80001      0.00341986        0.437729
       6         1.61789      0.00237167        0.303564
       7        0.922411      0.00164849        0.211001
       8        0.513991       0.0011249        0.143983
       9        0.288542     0.000772456       0.0988714
      10        0.162485     0.000532063        0.068102
      11       0.0921369     0.000367569       0.0470475
      12        0.053028     0.000249843       0.0319789
      13       0.0315447     0.000175366       0.0224461
      14       0.0197636     0.000125126       0.0160157
