14 -0.017447805261483047
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.501526         14.6229     0.00960874        1.22988        -942.169       0.617575        79.0472      -0.0234649      0.0718606        9.19788
  accept        0.499634          14.606     0.00972015        1.24414        -943.895      0.0730974        9.35619       0.0670717      0.0723757        9.26381
       1         0.50116         14.6033     0.00963649        1.23343        -943.659      0.0737017        9.43354      -0.0359577      0.0718385        9.19505
   total         0.50116         14.6033     0.00963649        1.23343        -943.659      0.0737017        9.43354      -0.0359577      0.0718385        9.19505

    mode      occupation             +/-         std dev
     -15       0.0141205     9.55264e-05        0.012227
     -14       0.0212305     0.000129693       0.0166002
     -13       0.0337455     0.000179203       0.0229373
     -12       0.0565643     0.000261693       0.0334957
     -11       0.0970902     0.000373113        0.047757
     -10         0.17081     0.000539752       0.0690861
      -9        0.301956     0.000796317        0.101925
      -8        0.531428      0.00114457          0.1465
      -7        0.941832      0.00167725        0.214681
      -6         1.64105      0.00239187         0.30615
      -5         2.82384      0.00336556        0.430779
      -4         4.68792      0.00475475         0.60859
      -3         7.34938      0.00622499        0.796775
      -2         10.5865       0.0077153        0.987528
      -1         13.4716      0.00917767         1.17471
       0         14.6033      0.00963649         1.23343
       1         13.4489      0.00904929         1.15827
       2         10.5382       0.0078683         1.00711
       3         7.35096      0.00625876        0.801096
       4          4.6797      0.00478088        0.611934
       5         2.82687      0.00344512        0.440962
       6         1.64984      0.00239555        0.306621
       7        0.941738      0.00170444        0.218162
       8        0.533456      0.00116917        0.149649
       9        0.302442     0.000793998        0.101629
      10        0.170589     0.000539001         0.06899
      11       0.0982809      0.00037567       0.0480843
      12       0.0572913     0.000262568       0.0336077
      13       0.0340079     0.000181913       0.0232841
      14       0.0213041      0.00013051       0.0167047
      15       0.0141016     9.55372e-05       0.0122284
