12 -0.01762228331409788
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.496582         14.7736      0.0100019        1.28021        -960.214       0.433288        55.4592      -0.0326903      0.0732627        9.37734
  accept        0.500488         14.7519     0.00962728        1.23225        -961.131      0.0686321        8.78465       0.0720655      0.0720518        9.22235
       1        0.501709          14.719     0.00966491        1.23707        -961.152      0.0683028        8.74249        -0.21635       0.070971        9.08401
   total        0.501709          14.719     0.00966491        1.23707        -961.152      0.0683028        8.74249        -0.21635       0.070971        9.08401

    mode      occupation             +/-         std dev
     -13       0.0301005     0.000169774       0.0217304
     -12       0.0508143     0.000244091       0.0312427
     -11       0.0884172     0.000354794       0.0454123
     -10        0.157868     0.000517892       0.0662882
      -9        0.283179     0.000759507        0.097214
      -8        0.510482      0.00111375        0.142555
      -7        0.914001      0.00163902        0.209788
      -6         1.61379      0.00239004        0.305916
      -5         2.79154      0.00337303        0.431734
      -4         4.66619      0.00474326        0.607119
      -3         7.37621      0.00613225        0.784904
      -2         10.6392      0.00782736         1.00187
      -1         13.5391      0.00914346         1.17033
       0          14.719      0.00966491         1.23707
       1         13.5344      0.00912509         1.16798
       2          10.657      0.00783047         1.00227
       3          7.3528      0.00625829        0.801037
       4         4.65324      0.00474836        0.607771
       5         2.78663      0.00341524        0.437138
       6         1.61222      0.00236859         0.30317
       7        0.909429      0.00164329        0.210335
       8        0.506948      0.00111723        0.143001
       9        0.282248      0.00075629       0.0968022
      10        0.156762     0.000518012       0.0663035
      11       0.0881872     0.000352492       0.0451176
      12       0.0505315     0.000242407       0.0310271
      13       0.0296801     0.000167763        0.021473
