13 -0.01762228331409788
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.505066         14.5881     0.00992771        1.27071        -962.149       0.353921        45.3006       -0.121463      0.0715347        9.15616
       1        0.498352         14.6138      0.0096078        1.22976        -963.015      0.0706224        9.03939      -0.0346367      0.0710198        9.09026
   total        0.498352         14.6138      0.0096078        1.22976        -963.015      0.0706224        9.03939      -0.0346367      0.0710198        9.09026

    mode      occupation             +/-         std dev
     -14       0.0203776      0.00012681       0.0162312
     -13       0.0328402     0.000178617       0.0228623
     -12        0.054593     0.000252234        0.032285
     -11       0.0950434     0.000368377       0.0471508
     -10        0.167456       0.0005362       0.0686316
      -9        0.298205     0.000785837        0.100584
      -8        0.530833      0.00114612        0.146699
      -7        0.938172      0.00166748        0.213431
      -6         1.64593      0.00240604        0.307964
      -5         2.83259      0.00341515        0.437126
      -4         4.68483      0.00467066        0.597827
      -3         7.37134      0.00614906        0.787055
      -2          10.583      0.00777881        0.995658
      -1         13.4635      0.00915332         1.17159
       0         14.6138       0.0096078         1.22976
       1         13.4302      0.00910933         1.16596
       2         10.5743      0.00777987        0.995792
       3         7.33902      0.00620342        0.794014
       4         4.70236      0.00469378        0.600786
       5         2.83108      0.00340701        0.436084
       6         1.65125      0.00243081        0.311134
       7        0.937804      0.00165881        0.212321
       8        0.532845      0.00115314        0.147597
       9        0.297324     0.000779749       0.0998049
      10        0.167433     0.000536851       0.0687148
      11       0.0951964     0.000369349       0.0472753
      12       0.0552128     0.000255004       0.0326395
      13       0.0329697     0.000179402       0.0229627
      14       0.0205487     0.000127984       0.0163814
