14 -0.01762228331409788
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.497192         14.5277      0.0102293        1.30932        -961.896       0.535052        68.4846       0.0319257      0.0712301        9.11717
  accept         0.50061         14.5035     0.00956727        1.22457        -963.229      0.0739127        9.46053       -0.141873      0.0716509        9.17103
       1        0.498596         14.5124     0.00955208        1.22263        -963.341       0.072694        9.30454       -0.130462      0.0721628        9.23656
   total        0.498596         14.5124     0.00955208        1.22263        -963.341       0.072694        9.30454       -0.130462      0.0721628        9.23656

    mode      occupation             +/-         std dev
     -15       0.0145079     9.76565e-05       0.0124997
     -14       0.0220007     0.000131822       0.0168727
     -13       0.0356065     0.000187067       0.0239439
     -12       0.0591605      0.00026491       0.0339074
     -11        0.101675     0.000381215        0.048794
     -10        0.177189       0.0005535       0.0708459
      -9         0.31039     0.000807958        0.103415
      -8        0.551663      0.00116548        0.149177
      -7        0.967593      0.00167797        0.214774
      -6          1.6765      0.00241394        0.308974
      -5         2.86722      0.00344549         0.44101
      -4         4.72988      0.00465011        0.595196
      -3         7.36843      0.00627086        0.802645
      -2         10.5454      0.00785848         1.00585
      -1         13.3529       0.0091406         1.16996
       0         14.5124      0.00955208         1.22263
       1         13.3087      0.00908593         1.16296
       2          10.524      0.00766042        0.980504
       3         7.37784      0.00617928        0.790924
       4         4.71257      0.00468967         0.60026
       5         2.86857      0.00341791        0.437479
       6         1.67952      0.00241337        0.308902
       7        0.966364      0.00169143        0.216496
       8        0.548824      0.00116186        0.148714
       9        0.310983     0.000793141        0.101519
      10        0.177952     0.000550641         0.07048
      11        0.101265     0.000380463       0.0486978
      12       0.0592774     0.000265872       0.0340306
      13       0.0350327     0.000184374       0.0235992
      14        0.022182     0.000134693       0.0172402
      15       0.0144357      9.6619e-05       0.0123669
