12 -0.01779676136671271
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.493225         14.6428      0.0096755        1.23843        -978.651       0.608112         77.836       0.0208169      0.0716903        9.17608
  accept        0.500427           14.63     0.00954442        1.22165        -980.137      0.0681054        8.71722      -0.0310866      0.0724862        9.27795
       1        0.499084         14.6462      0.0096377        1.23359        -980.193      0.0677994        8.67806        -0.01125      0.0721843        9.23931
   total        0.499084         14.6462      0.0096377        1.23359        -980.193      0.0677994        8.67806        -0.01125      0.0721843        9.23931

    mode      occupation             +/-         std dev
     -13       0.0308949     0.000171995       0.0220146
     -12       0.0531732     0.000250755       0.0320957
     -11       0.0917177     0.000360801       0.0461811
     -10        0.162467     0.000524357       0.0671157
      -9        0.291505     0.000767795       0.0982748
      -8        0.525533      0.00112872        0.144472
      -7        0.931385      0.00164531        0.210594
      -6         1.63906      0.00237917        0.304524
      -5         2.83015      0.00342727        0.438677
      -4         4.71647      0.00474129        0.606866
      -3          7.3666      0.00616632        0.789265
      -2         10.5862      0.00776781         0.99425
      -1         13.4505      0.00919185         1.17652
       0         14.6462       0.0096377         1.23359
       1         13.4469      0.00900071         1.15206
       2         10.5887       0.0077438        0.991176
       3         7.38464      0.00624891        0.799836
       4         4.70531      0.00465978        0.596434
       5         2.82828       0.0033971        0.434815
       6          1.6379       0.0023951        0.306564
       7        0.932439      0.00165628        0.211998
       8        0.524097      0.00113113         0.14478
       9        0.291895     0.000773422        0.098995
      10        0.162849     0.000521875        0.066798
      11       0.0915104     0.000361539       0.0462756
      12       0.0521114     0.000246805       0.0315901
      13       0.0313636     0.000175302        0.022438
