13 -0.01779676136671271
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init         0.50592          14.496      0.0103535         1.3252         -981.44       0.525417        67.2514       0.0473857      0.0721706        9.23755
  accept        0.493225         14.4686     0.00949979        1.21594         -982.52      0.0712066        9.11417      -0.0159406      0.0724689        9.27574
       1        0.499023         14.4858      0.0094527        1.20991        -982.437      0.0710409        9.09296      0.00668396       0.072019        9.21815
   total        0.499023         14.4858      0.0094527        1.20991        -982.437      0.0710409        9.09296      0.00668396       0.072019        9.21815

    mode      occupation             +/-         std dev
     -14       0.0212619     0.000128283       0.0164197
     -13       0.0344947     0.000184877       0.0236636
     -12       0.0578473     0.000261657        0.033491
     -11       0.0999896     0.000376682       0.0482138
     -10        0.175777     0.000547174       0.0700361
      -9        0.310966     0.000797487        0.102075
      -8        0.548952      0.00117169        0.149972
      -7        0.962833      0.00168234        0.215333
      -6          1.6893      0.00239401        0.306424
      -5          2.8751      0.00337921        0.432525
      -4          4.7396      0.00471794        0.603877
      -3          7.3863      0.00619702        0.793195
      -2         10.5311      0.00774383         0.99118
      -1         13.3117      0.00907234         1.16122
       0         14.4858       0.0094527         1.20991
       1         13.3251      0.00894469         1.14489
       2         10.5487      0.00774835        0.991758
       3         7.38149      0.00613908        0.785778
       4          4.7422      0.00471222        0.603146
       5         2.87221      0.00342031        0.437786
       6         1.68604      0.00242467        0.310348
       7        0.967569      0.00168152        0.215228
       8        0.548434      0.00116422        0.149016
       9        0.309879     0.000801462        0.102584
      10        0.175375     0.000541586        0.069321
      11       0.0990712     0.000376047       0.0481325
      12       0.0578592      0.00026062       0.0333583
      13        0.034123     0.000181975       0.0232921
      14       0.0209542     0.000129119       0.0165268
