14 -0.01779676136671271
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.502563         14.3474     0.00981349        1.25609        -981.667        0.52623        67.3553       -0.330828      0.0723767        9.26394
    init        0.494751         14.3682     0.00945047        1.20962        -983.034      0.0738994        9.45884       0.0272126      0.0724769        9.27677
       1        0.499146         14.3525      0.0094104        1.20449        -982.879      0.0734668        9.40346        0.262366      0.0717201        9.17989
   total        0.499146         14.3525      0.0094104        1.20449        -982.879      0.0734668        9.40346        0.262366      0.0717201        9.17989

    mode      occupation             +/-         std dev
     -15       0.0148776     9.85707e-05       0.0126167
     -14       0.0229805     0.000135155       0.0172994
     -13       0.0368508     0.000190568       0.0243919
     -12       0.0619319     0.000269568       0.0345037
     -11        0.105084     0.000385385       0.0493278
     -10        0.183733     0.000560529       0.0717456
      -9        0.322712     0.000819416        0.104882
      -8        0.567557      0.00118385        0.151528
      -7        0.988561      0.00170287        0.217961
      -6         1.72121       0.0024533        0.314013
      -5         2.90519      0.00344876        0.441428
      -4         4.75262      0.00467415        0.598273
      -3         7.36633      0.00612156        0.783535
      -2         10.4955       0.0077079        0.986582
      -1          13.239      0.00897874         1.14924
       0         14.3525       0.0094104         1.20449
       1          13.248       0.0089437         1.14476
       2         10.5079      0.00777666        0.995382
       3         7.40169      0.00618191        0.791261
       4         4.76953      0.00472969        0.605382
       5         2.90251      0.00344427        0.440853
       6         1.72177      0.00246589        0.315624
       7        0.993097      0.00171122         0.21903
       8        0.566988      0.00117463        0.150348
       9        0.324155     0.000818689        0.104789
      10        0.184116     0.000567428       0.0726285
      11        0.105904     0.000388314       0.0497026
      12       0.0622916     0.000274833       0.0351775
      13       0.0371724     0.000193232        0.024733
      14       0.0230907     0.000136929       0.0175264
      15       0.0149951     9.98649e-05       0.0127823
