12 -0.01797123941932754
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.499695         14.5526       0.011039        1.41294         -998.06       0.461233        59.0361       -0.101949      0.0720211        9.21842
  accept        0.501953         14.4918     0.00946784        1.21185        -999.473      0.0674897        8.63842        0.109372      0.0722272         9.2448
       1        0.501831         14.5133     0.00943424        1.20755        -999.515      0.0687557        8.80046       -0.091188      0.0717896        9.18879
   total        0.501831         14.5133     0.00943424        1.20755        -999.515      0.0687557        8.80046       -0.091188      0.0717896        9.18879

    mode      occupation             +/-         std dev
     -13       0.0321441     0.000176617       0.0226063
     -12       0.0546615      0.00025405       0.0325174
     -11       0.0955152     0.000365364       0.0467652
     -10        0.168804      0.00053552       0.0685444
      -9        0.300486     0.000782435        0.100149
      -8        0.538371      0.00114935        0.147112
      -7         0.95274       0.0016478        0.210912
      -6           1.669      0.00238374        0.305109
      -5         2.86601       0.0034036        0.435647
      -4         4.74686      0.00473965        0.606657
      -3         7.38805       0.0061099        0.782043
      -2         10.5768      0.00771091        0.986967
      -1          13.368      0.00896855         1.14794
       0         14.5133      0.00943424         1.20755
       1         13.3743      0.00895361         1.14603
       2         10.5595      0.00772453         0.98871
       3          7.3828      0.00624597         0.79946
       4         4.73529      0.00467099        0.597869
       5         2.86299      0.00342216        0.438023
       6          1.6695      0.00239773          0.3069
       7        0.955332      0.00165625        0.211993
       8        0.538165      0.00114269         0.14626
       9        0.301809     0.000795468        0.101817
      10        0.168075     0.000536658       0.0686901
      11       0.0949712     0.000366327       0.0468884
      12       0.0545762     0.000251151       0.0321463
      13        0.031911     0.000175757       0.0224963
