13 -0.01797123941932754
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.497131         14.3521     0.00954412        1.22161        -1000.59       0.607129        77.7101      -0.0715366      0.0713393        9.13115
  accept        0.500854         14.3383     0.00934479         1.1961        -1002.05      0.0707123         9.0509        0.137779      0.0717521        9.18398
       1        0.492615         14.3506     0.00936108        1.19818           -1002      0.0711315        9.10456      -0.0446636      0.0719766        9.21272
   total        0.492615         14.3506     0.00936108        1.19818           -1002      0.0711315        9.10456      -0.0446636      0.0719766        9.21272

    mode      occupation             +/-         std dev
     -14       0.0219373      0.00013214       0.0169134
     -13       0.0357515     0.000187245       0.0239667
     -12       0.0594543     0.000264368       0.0338381
     -11        0.103764     0.000389347       0.0498349
     -10        0.181909     0.000551857       0.0706356
      -9        0.319176      0.00080401         0.10291
      -8        0.566005      0.00117832        0.150821
      -7        0.989682      0.00170625        0.218394
      -6         1.72167      0.00242703        0.310651
      -5         2.90925        0.003416        0.437235
      -4         4.77067       0.0046685        0.597549
      -3         7.39488      0.00616807        0.789489
      -2         10.5159      0.00763976         0.97786
      -1         13.2435      0.00885279         1.13312
       0         14.3506      0.00936108         1.19818
       1         13.2359      0.00889304         1.13827
       2          10.511      0.00763454        0.977191
       3         7.39116      0.00612756        0.784304
       4         4.77889       0.0046963        0.601108
       5         2.90416      0.00339689        0.434788
       6         1.71681      0.00243459        0.311618
       7        0.989171      0.00169599         0.21708
       8        0.566013      0.00117008        0.149766
       9         0.31974     0.000805415         0.10309
      10        0.181519      0.00055675       0.0712618
      11        0.103424     0.000385247       0.0493101
      12       0.0601556      0.00026469       0.0338792
      13       0.0357947     0.000186774       0.0239064
      14       0.0221252     0.000131994       0.0168948
