14 -0.01797123941932754
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.501892         14.2513     0.00964004        1.23389        -1001.21       0.651351        83.3704     -0.00494572      0.0723956        9.26635
  accept         0.50061         14.2518     0.00927126        1.18668        -1002.99      0.0730415        9.34903        0.208652      0.0713286        9.12978
       1        0.503174         14.2293     0.00927202        1.18678        -1002.88      0.0731199        9.35906       0.0714319      0.0724108        9.26831
   total        0.503174         14.2293     0.00927202        1.18678        -1002.88      0.0731199        9.35906       0.0714319      0.0724108        9.26831

    mode      occupation             +/-         std dev
     -15       0.0155139     0.000101687       0.0130156
     -14       0.0237788     0.000140026       0.0179227
     -13       0.0388928     0.000195928        0.025078
     -12       0.0650495     0.000275821        0.035304
     -11        0.110222     0.000398225       0.0509713
     -10        0.191764     0.000572092       0.0732255
      -9        0.335269     0.000828803        0.106084
      -8        0.584501      0.00119898        0.153465
      -7         1.02046      0.00172946        0.221364
      -6         1.75006      0.00243305        0.311421
      -5         2.95517      0.00345967        0.442824
      -4         4.79396      0.00463885        0.593754
      -3         7.39015      0.00614372        0.786372
      -2         10.4744      0.00753842        0.964889
      -1         13.1415      0.00878714         1.12472
       0         14.2293      0.00927202         1.18678
       1         13.1011      0.00871746          1.1158
       2         10.4761      0.00759172         0.97171
       3         7.40334      0.00614514        0.786553
       4         4.80794      0.00474568        0.607428
       5         2.95186      0.00339249        0.434225
       6         1.75218      0.00244849        0.313398
       7         1.01844      0.00171845        0.219955
       8        0.588911      0.00120327        0.154014
       9        0.334606     0.000827467        0.105913
      10        0.192374     0.000574076       0.0734794
      11        0.110455     0.000399363       0.0511168
      12        0.064924     0.000279863       0.0358214
      13       0.0384799     0.000193038       0.0247081
      14       0.0237341     0.000140203       0.0179454
      15       0.0155331     0.000103599       0.0132602
