12 -0.018145717471942373
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.502869         14.3974     0.00930922        1.19154        -1017.98       0.368033        47.1067       -0.157647      0.0717307        9.18125
  accept        0.500244         14.4089     0.00927588        1.18728        -1018.89      0.0681002        8.71655       0.0634625      0.0717592        9.18489
       1        0.493103          14.432     0.00940942        1.20437        -1018.77      0.0678643        8.68637        0.078009      0.0724466        9.27289
   total        0.493103          14.432     0.00940942        1.20437        -1018.77      0.0678643        8.68637        0.078009      0.0724466        9.27289

    mode      occupation             +/-         std dev
     -13       0.0328324     0.000177765       0.0227532
     -12       0.0565507     0.000259984       0.0332769
     -11       0.0977352     0.000372061       0.0476224
     -10        0.174161     0.000540163       0.0691387
      -9        0.310596     0.000788928         0.10098
      -8          0.5511      0.00115565        0.147919
      -7        0.972334      0.00167104        0.213887
      -6         1.69814      0.00242017        0.309772
      -5         2.90237      0.00341744        0.437419
      -4         4.77885      0.00460909        0.589946
      -3         7.38976       0.0061414        0.786076
      -2         10.5268      0.00767907        0.982891
      -1         13.2701      0.00883077          1.1303
       0          14.432      0.00940942         1.20437
       1         13.3085       0.0088729          1.1357
       2         10.5267      0.00766209        0.980717
       3         7.39224      0.00616543        0.789151
       4         4.77539      0.00468855        0.600116
       5         2.90741       0.0033962        0.434701
       6         1.70131      0.00242302        0.310137
       7         0.97169      0.00167301        0.214139
       8        0.550912      0.00115512         0.14785
       9        0.310227     0.000791209        0.101272
      10        0.174283     0.000549835       0.0703768
      11        0.097995      0.00037232       0.0476554
      12         0.05657     0.000257912       0.0330118
      13       0.0333699     0.000180866       0.0231502
