13 -0.018145717471942373
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.498474          14.238      0.0092798        1.18778        -1020.68       0.434869        55.6615      -0.0127076      0.0731786        9.36657
  accept        0.498901         14.2406     0.00919405         1.1768        -1021.93       0.071521         9.1544       -0.196997      0.0718597        9.19776
       1        0.501038         14.2174     0.00918319        1.17541        -1021.81      0.0707246        9.05247       -0.246233      0.0709809        9.08528
   total        0.501038         14.2174     0.00918319        1.17541        -1021.81      0.0707246        9.05247       -0.246233      0.0709809        9.08528

    mode      occupation             +/-         std dev
     -14       0.0227856     0.000135928       0.0173983
     -13       0.0370112     0.000190384       0.0243684
     -12       0.0628197     0.000270952       0.0346808
     -11        0.107599     0.000393874       0.0504143
     -10         0.18771     0.000565127        0.072334
      -9        0.330189     0.000831262        0.106398
      -8        0.580562      0.00118952        0.152254
      -7         1.01308      0.00171595        0.219635
      -6          1.7517      0.00244681        0.313182
      -5         2.96532      0.00341744        0.437419
      -4         4.80904       0.0046633        0.596885
      -3         7.41702      0.00616001        0.788457
      -2         10.4597      0.00762163        0.975539
      -1         13.1849      0.00879752         1.12605
       0         14.2174      0.00918319         1.17541
       1         13.1431      0.00868975         1.11225
       2          10.483      0.00756603        0.968423
       3         7.40138      0.00608685        0.779093
       4         4.79717      0.00463799        0.593644
       5         2.94131      0.00343572        0.439759
       6         1.74418       0.0024074        0.308138
       7         1.01408      0.00170637        0.218408
       8        0.580835      0.00118001        0.151036
       9        0.330834      0.00081617        0.104467
      10        0.187471     0.000566593       0.0725217
      11        0.107551     0.000388023       0.0496655
      12       0.0623876     0.000273151       0.0349623
      13       0.0369548     0.000190077       0.0243291
      14        0.022951     0.000135779       0.0173792
