14 -0.018145717471942373
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.501587         14.1101     0.00928253        1.18813        -1021.32       0.685603        87.7545        0.235425      0.0712575        9.12068
    init        0.506836         14.1065     0.00899022        1.15071        -1022.91      0.0731519        9.36315       -0.172671      0.0726782        9.30253
       1         0.50708         14.1289      0.0091154        1.16674        -1022.97      0.0732124         9.3709      -0.0638985      0.0731522        9.36319
   total         0.50708         14.1289      0.0091154        1.16674        -1022.97      0.0732124         9.3709      -0.0638985      0.0731522        9.36319

    mode      occupation             +/-         std dev
     -15       0.0160144     0.000104147       0.0133304
     -14       0.0248137     0.000143607       0.0183812
     -13       0.0401498     0.000198718       0.0254352
     -12       0.0676186     0.000284351       0.0363958
     -11        0.114297     0.000403567        0.051655
     -10        0.199107     0.000581355       0.0744111
      -9        0.344259     0.000835672        0.106963
      -8        0.602149      0.00120856        0.154691
      -7         1.04083      0.00173204        0.221695
      -6         1.78376      0.00246206        0.315134
      -5         2.98514      0.00339728        0.434839
      -4         4.84152      0.00461717         0.59098
      -3         7.41984       0.0060865        0.779048
      -2         10.4268      0.00756983        0.968909
      -1         13.0408      0.00865359         1.10763
       0         14.1289       0.0091154         1.16674
       1         13.0311      0.00864719         1.10681
       2         10.4307      0.00749748        0.959649
       3          7.4076      0.00610655        0.781614
       4         4.83556      0.00464965        0.595137
       5          2.9876      0.00345536        0.442273
       6         1.78222      0.00243392        0.311532
       7          1.0425      0.00171873        0.219991
       8        0.600767      0.00122196        0.156406
       9        0.344994     0.000838662        0.107345
      10        0.198626     0.000583059       0.0746293
      11         0.11432     0.000407803       0.0521972
      12       0.0671387     0.000282368       0.0361419
      13       0.0401248     0.000201023       0.0257301
      14       0.0246004      0.00014268       0.0182625
      15       0.0161269      0.00010387        0.013295
