12 -0.0183201955245572
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.499207         14.2872     0.00951555        1.21795        -1037.71       0.293994        37.6301       -0.128664      0.0721954        9.24073
  accept        0.500244         14.2997     0.00917582        1.17447        -1038.38        0.06756        8.64741      0.00363503      0.0719883        9.21423
       1        0.501526         14.2986      0.0092185        1.17993         -1038.3      0.0689611        8.82675        0.194145      0.0714365        9.14359
   total        0.501526         14.2986      0.0092185        1.17993         -1038.3      0.0689611        8.82675        0.194145      0.0714365        9.14359

    mode      occupation             +/-         std dev
     -13       0.0345319       0.0001836       0.0235001
     -12       0.0587174      0.00026346       0.0337218
     -11        0.102468     0.000377993       0.0483816
     -10        0.180314      0.00055153       0.0705937
      -9        0.319858     0.000807401        0.103344
      -8        0.568396      0.00116727        0.149406
      -7        0.993631       0.0016949         0.21694
      -6         1.73431      0.00241963        0.309703
      -5         2.94767      0.00341629        0.437272
      -4          4.7966      0.00464983         0.59516
      -3          7.4123      0.00610388        0.781273
      -2         10.4994      0.00762119        0.975483
      -1         13.1646       0.0088193         1.12884
       0         14.2986       0.0092185         1.17993
       1         13.2028      0.00868483         1.11162
       2         10.4998      0.00745777        0.954565
       3         7.43299      0.00607884        0.778068
       4         4.81001       0.0046663        0.597268
       5         2.93819      0.00338182         0.43286
       6         1.73724      0.00244014        0.312328
       7         1.00177      0.00169326        0.216731
       8        0.569481       0.0011886        0.152137
       9        0.320923       0.0008049        0.103024
      10        0.180583     0.000548489       0.0702045
      11        0.101652     0.000380586       0.0487135
      12        0.058559     0.000263395       0.0337135
      13       0.0347086     0.000183425       0.0234777
