13 -0.0183201955245572
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.498657         14.1249     0.00939075        1.20198        -1040.77       0.359081         45.961        0.049799      0.0720874         9.2269
  accept        0.504028         14.1464     0.00914542        1.17058        -1041.88      0.0710994        9.10044        0.152047      0.0727489        9.31157
       1        0.506287         14.1283     0.00919466        1.17688        -1041.92      0.0702984        8.99792        0.134418      0.0716622        9.17249
   total        0.506287         14.1283     0.00919466        1.17688        -1041.92      0.0702984        8.99792        0.134418      0.0716622        9.17249

    mode      occupation             +/-         std dev
     -14       0.0236692     0.000140234       0.0179494
     -13       0.0386505     0.000194527       0.0248987
     -12       0.0647976     0.000275544       0.0352686
     -11        0.110966     0.000389288       0.0498274
     -10         0.19451      0.00057421       0.0734966
      -9        0.339335      0.00082524        0.105627
      -8        0.597798      0.00119987        0.153578
      -7         1.03361      0.00172605        0.220928
      -6         1.77743      0.00244401        0.312824
      -5         2.98937       0.0033999        0.435174
      -4          4.8418      0.00460181        0.589013
      -3         7.41787      0.00602427        0.771083
      -2         10.4224      0.00753496        0.964446
      -1         13.0556      0.00842028         1.07776
       0         14.1283      0.00919466         1.17688
       1         13.0551      0.00864543         1.10658
       2         10.4576      0.00739617        0.946681
       3         7.43358      0.00593181        0.759248
       4         4.84309       0.0046775        0.598702
       5         2.99851       0.0034331        0.439424
       6         1.77438      0.00244552        0.313017
       7         1.03383      0.00171898        0.220023
       8        0.595295      0.00120205        0.153858
       9        0.339638     0.000829417        0.106162
      10         0.19512     0.000576507       0.0737906
      11        0.111066     0.000397428       0.0508692
      12       0.0648098     0.000276207       0.0353535
      13       0.0382568      0.00019367        0.024789
      14       0.0235563     0.000138359       0.0177094
