14 -0.0183201955245572
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init         0.49585         13.9796     0.00932503        1.19357         -1041.2       0.590525        75.5849        0.141862      0.0722064        9.24213
  accept        0.502319         13.9959      0.0091145        1.16662        -1043.02      0.0734467        9.40089        0.175515      0.0720946        9.22783
       1        0.505005         13.9401     0.00884352        1.13194           -1043      0.0738951        9.45828      0.00969987       0.071785         9.1882
   total        0.505005         13.9401     0.00884352        1.13194           -1043      0.0738951        9.45828      0.00969987       0.071785         9.1882

    mode      occupation             +/-         std dev
     -15       0.0167083     0.000105677       0.0135263
     -14       0.0261173     0.000149315       0.0191118
     -13       0.0421553     0.000205043       0.0262447
     -12       0.0702427     0.000292383       0.0374239
     -11        0.119828     0.000415603       0.0531955
     -10        0.205641     0.000588547       0.0753317
      -9        0.359072     0.000848781        0.108641
      -8        0.620537      0.00123513        0.158092
      -7         1.07093      0.00176122        0.225429
      -6         1.81896      0.00247391        0.316651
      -5          3.0346      0.00347175         0.44437
      -4          4.8944      0.00465371        0.595657
      -3         7.42688      0.00598788        0.766425
      -2         10.3775      0.00742028        0.949767
      -1         12.9383      0.00860764         1.10174
       0         13.9401      0.00884352         1.13194
       1         12.9446       0.0085893          1.0994
       2         10.4006      0.00746167        0.955064
       3         7.42636      0.00597295        0.764514
       4         4.87524      0.00461837        0.591134
       5         3.04053      0.00347286        0.444513
       6         1.82173       0.0024779        0.317161
       7         1.06785      0.00175107         0.22413
       8        0.619195      0.00122541        0.156848
       9        0.358942     0.000853963        0.109304
      10        0.207326      0.00059404       0.0760348
      11        0.120115     0.000417041       0.0533796
      12       0.0708701     0.000293023       0.0375058
      13       0.0419565     0.000204624       0.0261911
      14       0.0259624     0.000146951       0.0188092
      15       0.0167056     0.000106024       0.0135707
