12 -0.018494673577172032
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.505249         14.1743     0.00951323        1.21766        -1056.46       0.543524        69.5689      -0.0309958      0.0719889         9.2143
  accept        0.506714          14.178     0.00913186        1.16884        -1058.02      0.0684052         8.7556        0.118768      0.0717453        9.18312
       1        0.504028         14.1676     0.00901333        1.15367        -1057.87      0.0685548        8.77474       -0.105356      0.0711841        9.11129
   total        0.504028         14.1676     0.00901333        1.15367        -1057.87      0.0685548        8.77474       -0.105356      0.0711841        9.11129

    mode      occupation             +/-         std dev
     -13       0.0355943     0.000186115        0.023822
     -12       0.0607385     0.000269051       0.0344375
     -11        0.105623     0.000384647       0.0492334
     -10        0.187439     0.000566838       0.0725531
      -9        0.330285     0.000809475         0.10361
      -8         0.58319      0.00118719        0.151955
      -7         1.02118      0.00173641        0.222253
      -6         1.76712       0.0024718        0.316381
      -5         2.97229      0.00342541        0.438439
      -4         4.84775      0.00463061          0.5927
      -3         7.42952      0.00598962        0.766648
      -2         10.4793      0.00754257        0.965419
      -1          13.115      0.00866545         1.10914
       0         14.1676      0.00901333         1.15367
       1         13.0988      0.00872728         1.11706
       2         10.4673      0.00745937        0.954771
       3         7.44525      0.00604855        0.774191
       4         4.83518      0.00463245        0.592936
       5         2.96374      0.00341821        0.437518
       6         1.76163      0.00244656         0.31315
       7         1.02177      0.00169612        0.217096
       8        0.583868      0.00118613        0.151819
       9        0.330205     0.000815553        0.104388
      10        0.186698     0.000556364       0.0712125
      11        0.105947     0.000388767       0.0497606
      12       0.0612281     0.000268341       0.0343466
      13        0.035803     0.000186831       0.0239137
