13 -0.018494673577172032
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.499207         13.9881     0.00909272        1.16383        -1060.23       0.513986        65.7882       -0.047714      0.0716591        9.17208
  accept        0.499878         14.0174     0.00913549        1.16931         -1061.7      0.0712513        9.11988         0.10542      0.0716458        9.17038
       1        0.497131         13.9844     0.00893306         1.1434        -1061.77      0.0714515        9.14552      -0.0325971      0.0723114        9.25558
   total        0.497131         13.9844     0.00893306         1.1434        -1061.77      0.0714515        9.14552      -0.0325971      0.0723114        9.25558

    mode      occupation             +/-         std dev
     -14       0.0245197     0.000140637        0.018001
     -13       0.0398047      0.00019651       0.0251525
     -12       0.0673176     0.000279787       0.0358117
     -11        0.116167     0.000409334       0.0523932
     -10        0.200858     0.000587339       0.0751771
      -9        0.351184     0.000833553        0.106692
      -8        0.614703       0.0012097        0.154837
      -7         1.06317      0.00173039        0.221483
      -6          1.8142      0.00245832        0.314655
      -5         3.02704      0.00337584        0.432094
      -4         4.88481      0.00459172        0.587722
      -3         7.44751      0.00607261        0.777271
      -2         10.4064      0.00740343         0.94761
      -1         12.9612      0.00858756         1.09917
       0         13.9844      0.00893306          1.1434
       1         12.9531      0.00859263         1.09982
       2         10.4016      0.00736432        0.942604
       3         7.43128      0.00600501        0.768618
       4         4.88683      0.00466084        0.596569
       5          3.0358      0.00346272        0.443214
       6         1.81178      0.00246008         0.31488
       7         1.05994      0.00175316        0.224398
       8        0.613611      0.00121906        0.156034
       9        0.352973     0.000842163        0.107794
      10        0.202373     0.000585945       0.0749986
      11        0.115896     0.000406133       0.0519834
      12       0.0670206     0.000283328       0.0362649
      13       0.0401086      0.00019975       0.0255673
      14       0.0244515     0.000141378       0.0180958
