14 -0.018494673577172032
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.500061         13.8772     0.00908591        1.16296         -1061.8       0.639756        81.8863      -0.0987089      0.0719593        9.21051
  accept        0.499512         13.8649     0.00895624        1.14636        -1063.22      0.0732937         9.3813       -0.309781      0.0730713        9.35285
  accept        0.501282         13.8929     0.00895137        1.14574        -1063.53      0.0729905         9.3425        0.204843       0.071931        9.20689
       1        0.491882         13.8959     0.00890394        1.13967        -1063.42      0.0738573        9.45344       0.0254871      0.0723042        9.25466
   total        0.491882         13.8959     0.00890394        1.13967        -1063.42      0.0738573        9.45344       0.0254871      0.0723042        9.25466

    mode      occupation             +/-         std dev
     -15        0.017342     0.000108381       0.0138724
     -14       0.0268034     0.000149602       0.0191484
     -13       0.0434541     0.000208746       0.0267187
     -12       0.0727427     0.000293037       0.0375076
     -11        0.123767     0.000416558       0.0533178
     -10        0.213075     0.000598516       0.0766078
      -9        0.366332     0.000857089        0.109704
      -8        0.634931      0.00123966        0.158671
      -7         1.08621      0.00173385        0.221926
      -6         1.85223      0.00251985        0.322531
      -5          3.0616      0.00345539        0.442277
      -4         4.90274      0.00464011        0.593916
      -3         7.42983      0.00595405        0.762095
      -2         10.3357      0.00738374         0.94509
      -1         12.8734      0.00846782         1.08385
       0         13.8959      0.00890394         1.13967
       1         12.8892       0.0084014         1.07535
       2         10.3549      0.00729728        0.934024
       3         7.42328      0.00601988        0.770522
       4         4.89291       0.0046254        0.592033
       5          3.0661      0.00342143         0.43793
       6         1.85046      0.00249143        0.318893
       7         1.08928       0.0017737        0.227027
       8        0.633296      0.00122671        0.157013
       9        0.366373     0.000855305        0.109476
      10        0.214306     0.000599146       0.0766883
      11        0.123506      0.00041594       0.0532387
      12       0.0725774     0.000298275        0.038178
      13       0.0434572     0.000208625       0.0267032
      14       0.0270112     0.000150627       0.0192797
      15       0.0172898     0.000107536       0.0137642
