12 -0.018669151629786863
   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.495911         14.0933     0.00923493        1.18203        -1076.53       0.457327         58.536       -0.108615      0.0721751        9.23813
  accept        0.499023          14.074     0.00906691        1.16053        -1077.64      0.0675699        8.64868       -0.142618      0.0719499        9.20931
       1        0.494202         14.0894     0.00907747        1.16188        -1077.73      0.0673484        8.62033      -0.0011857      0.0714995        9.15166
   total        0.494202         14.0894     0.00907747        1.16188        -1077.73      0.0673484        8.62033      -0.0011857      0.0714995        9.15166

    mode      occupation             +/-         std dev
     -13       0.0368977     0.000189496       0.0242548
     -12       0.0630418     0.000271199       0.0347124
     -11        0.109435     0.000393806       0.0504056
     -10        0.191706     0.000568375       0.0727498
      -9        0.339462      0.00082846         0.10604
      -8        0.596533      0.00120331        0.154019
      -7         1.04118      0.00171945        0.220083
      -6         1.79118      0.00244355        0.312764
      -5         3.01007      0.00342123        0.437904
      -4         4.86995      0.00463948        0.593835
      -3         7.43387      0.00604561        0.773814
      -2         10.4309      0.00744885        0.953423
      -1         13.0509      0.00859247          1.0998
       0         14.0894      0.00907747         1.16188
       1         13.0251      0.00858183         1.09844
       2         10.4397      0.00741053        0.948518
       3         7.42876      0.00598859        0.766516
       4         4.86657      0.00465577        0.595921
       5         3.01186      0.00340063        0.435267
       6         1.79505      0.00243758           0.312
       7         1.04089      0.00173512        0.222088
       8        0.595982      0.00118946        0.152247
       9        0.339597     0.000823272        0.105376
      10        0.192675     0.000574243       0.0735009
      11        0.109694     0.000390879        0.050031
      12        0.062699     0.000273319       0.0349838
      13       0.0369451     0.000191026       0.0244506
